dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,challenger_change_count,challenger_change_rate,exploration_adjustment_count,penalize_adjustment_count,exploration_risk_accept_count,exploration_quota_accept_count,llm_mean_calibrated_confidence,hypothesis_confidence,hypothesis_support_count
real_buchwald_hartwig,incumbent,3,100.0,97.0759,0.0,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_buchwald_hartwig,incumbent,4,68.4725,66.7766,31.5275,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_buchwald_hartwig,incumbent,5,86.0034,86.0034,13.9966,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_buchwald_hartwig,incumbent,6,98.2872,95.6007,1.7128,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_buchwald_hartwig,incumbent,7,75.3112,75.3112,24.6888,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_buchwald_hartwig,llm_explore_gate_v1,3,100.0,95.6138,0.0,1,1,1,0,4,2,0.5,3,3,1,0,0.4609,0.5,0
real_buchwald_hartwig,llm_explore_gate_v1,4,74.0097,72.6985,25.9903,0,2,0,1,4,4,1.0,4,4,1,1,0.6707,0.5,0
real_buchwald_hartwig,llm_explore_gate_v1,5,86.0034,86.0034,13.9966,0,1,1,1,4,2,0.5,4,4,0,1,0.6664,0.5,0
real_buchwald_hartwig,llm_explore_gate_v1,6,92.9142,92.9142,7.0858,0,2,1,0,4,3,0.75,4,4,2,0,0.6658,0.5,0
real_buchwald_hartwig,llm_explore_gate_v1,7,75.3112,75.3112,24.6888,0,1,0,3,4,4,1.0,4,4,1,0,0.6356,0.5,0
