dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,challenger_change_count,challenger_change_rate,exploration_adjustment_count,penalize_adjustment_count,exploration_risk_accept_count,exploration_quota_accept_count,llm_mean_calibrated_confidence,hypothesis_confidence,hypothesis_support_count
real_moleculenet_freesolv,incumbent,3,39.1667,39.1667,60.8333,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_moleculenet_freesolv,incumbent,4,56.1667,52.7584,43.8333,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_moleculenet_freesolv,incumbent,5,95.4,95.4,4.6,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_moleculenet_freesolv,incumbent,6,71.4333,60.7666,28.5667,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_moleculenet_freesolv,incumbent,7,71.4333,54.7583,28.5667,1,0,0,0,0,0,0.0,0,0,0,0,0.0,0.5,0
real_moleculenet_freesolv,llm_explore_gate_v1,3,39.1667,39.1667,60.8333,0,2,0,1,4,4,1.0,4,4,2,0,0.5414,0.5,0
real_moleculenet_freesolv,llm_explore_gate_v1,4,71.4333,60.3916,28.5667,1,1,0,0,4,3,0.75,4,4,0,1,0.6041,0.5,0
real_moleculenet_freesolv,llm_explore_gate_v1,5,95.4,95.4,4.6,1,0,0,1,4,1,0.25,4,4,0,0,0.6344,0.5,0
real_moleculenet_freesolv,llm_explore_gate_v1,6,71.4333,55.4333,28.5667,1,1,0,2,4,4,1.0,4,4,1,0,0.5822,0.5,0
real_moleculenet_freesolv,llm_explore_gate_v1,7,49.2,49.2,50.8,0,1,1,0,4,1,0.25,3,3,0,1,0.5234,0.5,0
