condition,permutation_seed,target_seed,final_best,best_so_far_auc,simple_regret,top10_hit
permuted_source_outcomes_98100,98100,97200,-1.0733488224914616,-1.129779687504671,4.079039386954972,0
permuted_source_outcomes_98101,98101,97200,0.1275632938139221,-0.2789049277572682,2.8781272706495886,0
permuted_source_outcomes_98102,98102,97200,0.7083195157510443,0.1740848829059912,2.297371048712466,0
permuted_source_outcomes_98103,98103,97200,0.1610909128632617,-0.3190601896200762,2.844599651600249,0
permuted_source_outcomes_98104,98104,97200,-0.533085825028196,-0.7172134867636005,3.538776389491707,0
permuted_source_outcomes_98105,98105,97200,0.8559156973991473,-0.3381060951054775,2.1497748670643633,0
permuted_source_outcomes_98106,98106,97200,1.08024075998137,0.19736695817011382,1.9254498044821406,0
permuted_source_outcomes_98107,98107,97200,-0.6470019167413905,-0.6470019167413905,3.652692481204901,0
permuted_source_outcomes_98108,98108,97200,-0.3625062200084633,-1.1176646458412547,3.368196784471974,0
permuted_source_outcomes_98109,98109,97200,-0.0930324335165354,-0.22184777620222446,3.098722997980046,0
permuted_source_outcomes_98110,98110,97200,0.1442952306580525,-0.15358310170353964,2.861395333805458,0
permuted_source_outcomes_98111,98111,97200,0.4435130091838106,-0.596225815770696,2.5621775552797,0
permuted_source_outcomes_98112,98112,97200,0.4435130091838106,0.02163215053542019,2.5621775552797,0
permuted_source_outcomes_98113,98113,97200,0.8227729176981561,0.3072743824996786,2.1829176467653544,0
permuted_source_outcomes_98114,98114,97200,-1.0724525280921011,-1.2275394709547844,4.078143092555612,0
permuted_source_outcomes_98115,98115,97200,0.6497272237636204,-0.09750404275327773,2.35596334069989,0
permuted_source_outcomes_98116,98116,97200,1.1299585579111844,-0.5250702086053024,1.8757320065523262,0
permuted_source_outcomes_98117,98117,97200,-0.6470019167413905,-0.9118650370438884,3.652692481204901,0
permuted_source_outcomes_98118,98118,97200,0.5126453134548161,-0.5524606721697272,2.4930452510086942,0
permuted_source_outcomes_98119,98119,97200,-0.8353785096336033,-0.8415582856729005,3.841069074097114,0
permuted_source_outcomes_98120,98120,97200,1.8274559699239288,0.08288793213873673,1.1782345945395818,0
permuted_source_outcomes_98121,98121,97200,0.8805629872979609,0.6661160467278946,2.1251275771655496,0
permuted_source_outcomes_98122,98122,97200,0.8805629872979609,0.8805629872979609,2.1251275771655496,0
permuted_source_outcomes_98123,98123,97200,1.08024075998137,0.59369944757836,1.9254498044821406,0
permuted_source_outcomes_98124,98124,97200,1.254121515106309,-0.06789969644718766,1.7515690493572016,0
permuted_source_outcomes_98125,98125,97200,0.0590548810147107,-0.08693305069841804,2.9466356834488,0
permuted_source_outcomes_98126,98126,97200,1.8274559699239288,0.07217666837425865,1.1782345945395818,0
permuted_source_outcomes_98127,98127,97200,-0.7222161719204688,-0.8471147573203147,3.7279067363839795,0
permuted_source_outcomes_98128,98128,97200,-0.3521383226221278,-0.3802156043091155,3.3578288870856383,0
permuted_source_outcomes_98129,98129,97200,3.0056905644635106,0.681007994034819,0.0,1
permuted_source_outcomes_98130,98130,97200,0.5075140555804848,0.399872655231268,2.498176508883026,0
permuted_source_outcomes_98131,98131,97200,3.0056905644635106,0.17642606466735386,0.0,1
permuted_source_outcomes_98132,98132,97200,1.415652390834026,-0.8195895215297189,1.5900381736294846,0
permuted_source_outcomes_98133,98133,97200,0.3363460377512536,0.18029476923801388,2.669344526712257,0
permuted_source_outcomes_98134,98134,97200,0.3510140693097608,-0.610803252326092,2.65467649515375,0
permuted_source_outcomes_98135,98135,97200,0.1610909128632617,-0.06068293944283501,2.844599651600249,0
permuted_source_outcomes_98136,98136,97200,0.6014723349121722,0.19560399267008263,2.404218229551338,0
permuted_source_outcomes_98137,98137,97200,0.4932629656029594,-0.2534596314361224,2.512427598860551,0
permuted_source_outcomes_98138,98138,97200,-0.5696939545871863,-0.8828074210012813,3.5753845190506968,0
permuted_source_outcomes_98139,98139,97200,0.8805629872979609,0.8805629872979609,2.1251275771655496,0
permuted_source_outcomes_98140,98140,97200,-0.6520688437446331,-1.187982717380098,3.6577594082081437,0
permuted_source_outcomes_98141,98141,97200,-0.5054720616842976,-0.8781429361236532,3.511162626147808,0
permuted_source_outcomes_98142,98142,97200,1.1395852011841023,0.5397465441595657,1.8661053632794082,0
permuted_source_outcomes_98143,98143,97200,-0.5054720616842976,-0.9742505349086809,3.511162626147808,0
permuted_source_outcomes_98144,98144,97200,-0.4841523439517808,-0.8907307198051673,3.4898429084152913,0
permuted_source_outcomes_98145,98145,97200,-0.533085825028196,-0.6542486138502144,3.538776389491707,0
permuted_source_outcomes_98146,98146,97200,-0.3060881212490078,-0.49063325560164733,3.311778685712518,0
permuted_source_outcomes_98147,98147,97200,0.9074963174198216,0.7303259585123396,2.098194247043689,0
permuted_source_outcomes_98148,98148,97200,-0.1318077677884656,-0.1318077677884656,3.137498332251976,0
permuted_source_outcomes_98149,98149,97200,0.6014723349121722,0.39462323548564043,2.404218229551338,0
permuted_source_outcomes_98150,98150,97200,0.3510140693097608,-0.004874125994264303,2.65467649515375,0
permuted_source_outcomes_98151,98151,97200,0.6361045118275513,0.14724315038847535,2.369586052635959,0
permuted_source_outcomes_98152,98152,97200,3.0056905644635106,0.2419013658762932,0.0,1
permuted_source_outcomes_98153,98153,97200,-0.1117680958772918,-0.8520638535557515,3.1174586603408025,0
permuted_source_outcomes_98154,98154,97200,0.7083195157510443,-0.06774241762958244,2.297371048712466,0
permuted_source_outcomes_98155,98155,97200,0.5075140555804848,0.0012303249392246103,2.498176508883026,0
permuted_source_outcomes_98156,98156,97200,1.437878264972165,0.10029844069007662,1.5678122994913455,0
permuted_source_outcomes_98157,98157,97200,-0.5054720616842976,-0.6258542014873455,3.511162626147808,0
permuted_source_outcomes_98158,98158,97200,0.8273945536539933,0.6361152615491715,2.1782960108095173,0
permuted_source_outcomes_98159,98159,97200,0.6014723349121722,0.3255867710444694,2.404218229551338,0
permuted_source_outcomes_98160,98160,97200,-0.1500971461534533,-0.7543166369870583,3.155787710616964,0
permuted_source_outcomes_98161,98161,97200,-0.3060881212490078,-1.1965615927498845,3.311778685712518,0
permuted_source_outcomes_98162,98162,97200,1.8274559699239288,0.631409825170727,1.1782345945395818,0
permuted_source_outcomes_98163,98163,97200,0.6361045118275513,0.224668167327549,2.369586052635959,0
permuted_source_outcomes_98164,98164,97200,0.1610909128632617,-0.856733113285258,2.844599651600249,0
permuted_source_outcomes_98165,98165,97200,0.1610909128632617,-0.05586916159363128,2.844599651600249,0
permuted_source_outcomes_98166,98166,97200,0.5126453134548161,0.41068875441366387,2.4930452510086942,0
permuted_source_outcomes_98167,98167,97200,0.310063096498846,0.29295942823145943,2.6956274679646643,0
permuted_source_outcomes_98168,98168,97200,-0.2433360352076438,-0.2433360352076438,3.2490265996711543,0
permuted_source_outcomes_98169,98169,97200,0.8438943979738671,-0.18269903488488642,2.1617961664896432,0
permuted_source_outcomes_98170,98170,97200,0.8559156973991473,0.45574854262674713,2.1497748670643633,0
permuted_source_outcomes_98171,98171,97200,0.4932629656029594,0.2990410214465833,2.512427598860551,0
permuted_source_outcomes_98172,98172,97200,0.310063096498846,0.00983631355755088,2.6956274679646643,0
