tag,mode,seeds,final_best_mean,final_best_delta_vs_incumbent,best_so_far_auc_mean,best_so_far_auc_delta_vs_incumbent,bad_intervention_mean,intervention_mean,rejected_good_challenger_mean,llm_call_mean,llm_parse_error_mean
server_suzuki_to_bh_transfer_30seed_v2,no_care_random,30,83.7345,-3.1473,79.2249,-1.6026,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_transfer_30seed_v2,incumbent,30,86.8818,0.0,80.8275,0.0,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_transfer_30seed_v2,transfer_no_gate,30,89.8725,2.9907,81.641,0.8135,0.9333,2.4333,0.0,0.0,0.0
server_suzuki_to_bh_transfer_30seed_v2,transfer_gate_v1,30,89.8725,2.9907,81.641,0.8135,0.9333,2.4333,0.0,0.0,0.0
server_suzuki_to_bh_transfer_30seed_v2,transfer_strict_gate_v1,30,86.7952,-0.0866,80.893,0.0655,0.1,0.4667,0.0,0.0,0.0
server_suzuki_to_bh_llm_audit_10seed,no_care_random,10,81.8903,-4.7357,78.5358,-3.4488,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_llm_audit_10seed,incumbent,10,86.626,0.0,81.9846,0.0,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_llm_audit_10seed,transfer_gate_v1,10,90.098,3.472,82.9136,0.929,1.1,3.5,0.0,0.0,0.0
server_suzuki_to_bh_llm_audit_10seed,llm_audit_transfer_gate_v1,10,86.626,0.0,81.9846,0.0,0.1,0.1,1.4,2.8,0.0
server_suzuki_to_bh_strict_pos1_30seed,no_care_random,30,83.7345,-3.1473,79.2249,-1.6026,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_strict_pos1_30seed,incumbent,30,86.8818,0.0,80.8275,0.0,0.0,0.0,0.0,0.0,0.0
server_suzuki_to_bh_strict_pos1_30seed,transfer_gate_v1,30,89.8725,2.9907,81.641,0.8135,0.9333,2.4333,0.0,0.0,0.0
server_suzuki_to_bh_strict_pos1_30seed,transfer_strict_gate_v1,30,86.8901,0.0083,81.0921,0.2646,0.1333,0.3667,0.0333,0.0,0.0
