tag,source_dataset,target_dataset,best_transfer_mode,incumbent_final,incumbent_auc,random_final,random_auc,best_transfer_final,best_transfer_delta_final,best_transfer_auc,best_transfer_delta_auc,bad_intervention_mean,intervention_mean
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_chemlex_acidamine,transfer_strict_gate_v1,73.585,70.3257,90.111,80.4436,73.585,0.0,70.3257,0.0,0.5,0.6
server_multidomain_transfer_10seed,real_buchwald_hartwig,real_suzuki_miyaura,transfer_no_gate,91.3635,86.6018,88.6413,83.6799,90.0375,-1.326,85.7514,-0.8504,1.6,2.8
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_buchwald_hartwig,transfer_no_gate,86.626,81.9846,81.8903,78.5358,88.0951,1.4691,81.7339,-0.2507,0.6,2.1
server_multidomain_transfer_10seed,real_chemlex_acidamine,real_suzuki_miyaura,transfer_no_gate,91.3635,86.6018,88.6413,83.6799,91.5456,0.1821,86.5185,-0.0833,2.4,3.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_freesolv,transfer_strict_gate_v1,70.76,60.6393,68.7433,64.402,70.76,0.0,60.6393,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_moleculenet_esol,real_moleculenet_lipophilicity,transfer_gate_v1,86.65,84.91,84.8625,84.09,86.775,0.125,84.9175,0.0075,0.2,0.5
server_multidomain_transfer_10seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,transfer_strict_gate_v1,86.65,84.91,84.8625,84.09,87.35,0.7,84.9562,0.0462,0.2,0.3
server_multidomain_transfer_10seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,transfer_strict_gate_v1,70.76,60.6393,68.7433,64.402,70.76,0.0,60.6393,0.0,0.0,0.0
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_buchwald_hartwig,transfer_no_gate,86.626,81.9846,81.8903,78.5358,90.098,3.472,82.9136,0.929,0.9,3.2
server_multidomain_transfer_10seed,real_suzuki_miyaura,real_chemlex_acidamine,transfer_strict_gate_v1,73.585,70.3257,90.111,80.4436,78.023,4.438,70.7624,0.4367,0.5,2.2
server_multidomain_transfer_10seed,synthetic_chemlex_i,real_chemlex_acidamine,transfer_no_gate,73.585,70.3257,90.111,80.4436,77.295,3.71,72.7545,2.4288,0.8,3.4
server_multidomain_transfer_10seed,synthetic_materials_i,real_matbench_expt_gap,transfer_strict_gate_v1,58.525,53.4162,49.9625,48.11,58.525,0.0,53.4162,0.0,0.0,0.0
server_multidomain_transfer_10seed,synthetic_suzuki_i,real_suzuki_miyaura,transfer_strict_gate_v1,91.3635,86.6018,88.6413,83.6799,91.3801,0.0166,86.5247,-0.0771,2.6,4.0
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_freesolv,transfer_strict_gate_v1,71.45,60.6932,65.9817,60.1767,71.45,0.0,60.6932,0.0,0.0,0.05
server_molecular_transfer_20seed,real_moleculenet_esol,real_moleculenet_lipophilicity,transfer_gate_v1,86.8563,85.7594,85.6312,84.88,87.2625,0.4062,85.8787,0.1193,0.4,0.75
server_molecular_transfer_20seed,real_moleculenet_freesolv,real_moleculenet_lipophilicity,transfer_strict_gate_v1,86.8563,85.7594,85.6312,84.88,87.2062,0.3499,85.815,0.0556,0.15,0.55
server_molecular_transfer_20seed,real_moleculenet_lipophilicity,real_moleculenet_freesolv,transfer_strict_gate_v1,71.45,60.6932,65.9817,60.1767,71.45,0.0,60.6932,0.0,0.0,0.0
