experiment_tag,model,seeds,mode,final_best_mean,best_so_far_auc_mean,simple_regret_mean,top10_hit_mean,intervention_count_mean,bad_intervention_count_mean,transfer_active_rounds_mean,llm_call_count_mean,llm_parse_error_count_mean,notes
single_field_patch_5seed,openai/gpt-5.5,5,no_care_random,79.4526,77.793,20.5474,0.0,0.0,0.0,0.0,0.0,0.0,single-field LLM rule patch; LLM mainly reweights role strengths
single_field_patch_5seed,openai/gpt-5.5,5,incumbent,85.7591,80.4911,14.2409,0.0,0.0,0.0,0.0,0.0,0.0,single-field LLM rule patch; LLM mainly reweights role strengths
single_field_patch_5seed,openai/gpt-5.5,5,transfer_gate_v1,91.5394,81.1316,8.4606,0.2,4.0,0.4,7.0,0.0,0.0,single-field LLM rule patch; LLM mainly reweights role strengths
single_field_patch_5seed,openai/gpt-5.5,5,llm_rule_patch_transfer_gate_v1,86.0758,80.4109,13.9242,0.0,3.4,0.6,7.0,1.0,0.0,single-field LLM rule patch; LLM mainly reweights role strengths
interaction_patch_5seed,openai/gpt-5.5,5,no_care_random,79.4526,77.793,20.5474,0.0,0.0,0.0,0.0,0.0,0.0,adds LLM-selected role interaction pairs without agreement guard
interaction_patch_5seed,openai/gpt-5.5,5,incumbent,85.7591,80.4911,14.2409,0.0,0.0,0.0,0.0,0.0,0.0,adds LLM-selected role interaction pairs without agreement guard
interaction_patch_5seed,openai/gpt-5.5,5,transfer_gate_v1,91.5394,81.1316,8.4606,0.2,4.0,0.4,7.0,0.0,0.0,adds LLM-selected role interaction pairs without agreement guard
interaction_patch_5seed,openai/gpt-5.5,5,llm_rule_patch_transfer_gate_v1,86.0758,80.4109,13.9242,0.0,3.4,0.6,7.0,1.0,0.0,adds LLM-selected role interaction pairs without agreement guard
interaction_patch_5seed,openai/gpt-5.5,5,llm_rule_patch_interaction_gate_v1,87.9794,80.7371,12.0206,0.0,3.6,2.0,7.0,1.0,0.0,adds LLM-selected role interaction pairs without agreement guard
guarded_interaction_5seed,openai/gpt-5.5,5,incumbent,85.7591,80.4911,14.2409,0.0,0.0,0.0,0.0,0.0,0.0,requires pair-interaction signal to agree with single-field role-transfer signal
guarded_interaction_5seed,openai/gpt-5.5,5,transfer_gate_v1,91.5394,81.1316,8.4606,0.2,4.0,0.4,7.0,0.0,0.0,requires pair-interaction signal to agree with single-field role-transfer signal
guarded_interaction_5seed,openai/gpt-5.5,5,llm_rule_patch_interaction_gate_v1,90.6576,82.784,9.3424,0.2,3.2,1.2,7.0,1.0,0.0,requires pair-interaction signal to agree with single-field role-transfer signal
guarded_interaction_5seed,openai/gpt-5.5,5,llm_rule_patch_guarded_interaction_gate_v1,91.9498,82.4969,8.0502,0.2,3.2,0.8,7.0,1.0,0.0,requires pair-interaction signal to agree with single-field role-transfer signal
guarded_interaction_10seed,openai/gpt-5.5,10,incumbent,86.626,81.9846,13.3741,0.0,0.0,0.0,0.0,0.0,0.0,10-seed robustness check for guarded interaction mode
guarded_interaction_10seed,openai/gpt-5.5,10,transfer_gate_v1,90.098,82.9136,9.902,0.2,3.5,1.1,7.0,0.0,0.0,10-seed robustness check for guarded interaction mode
guarded_interaction_10seed,openai/gpt-5.5,10,llm_rule_patch_guarded_interaction_gate_v1,90.4106,83.7966,9.5894,0.2,3.6,1.7,7.0,1.0,0.0,10-seed robustness check for guarded interaction mode
risk_control_10seed,openai/gpt-5.5,10,incumbent,86.626,81.9846,13.3741,0.0,0.0,0.0,0.0,0.0,0.0,damped and confirmed risk-control variants after guarded interaction
risk_control_10seed,openai/gpt-5.5,10,transfer_gate_v1,90.098,82.9136,9.902,0.2,3.5,1.1,7.0,0.0,0.0,damped and confirmed risk-control variants after guarded interaction
risk_control_10seed,openai/gpt-5.5,10,llm_rule_patch_guarded_damped_interaction_gate_v1,91.073,84.4327,8.927,0.2,3.5,2.2,7.0,1.0,0.0,half-strength guarded interaction signals; larger gain but higher bad-intervention cost
risk_control_10seed,openai/gpt-5.5,10,llm_rule_patch_guarded_confirmed_interaction_gate_v1,90.6604,84.2049,9.3396,0.1,2.9,1.4,7.0,1.0,0.0,half-strength interaction signals plus support>=2 after early rounds; recommended balanced variant
conservative_10seed,openai/gpt-5.5,10,incumbent,86.626,81.9846,13.3741,0.0,0.0,0.0,0.0,0.0,0.0,quarter-strength confirmed variant
conservative_10seed,openai/gpt-5.5,10,transfer_gate_v1,90.098,82.9136,9.902,0.2,3.5,1.1,7.0,0.0,0.0,quarter-strength confirmed variant
conservative_10seed,openai/gpt-5.5,10,llm_rule_patch_guarded_conservative_interaction_gate_v1,89.8592,83.5624,10.1408,0.2,3.4,2.2,7.0,1.0,0.0,quarter-strength confirmed variant; not recommended
positive_only_10seed,openai/gpt-5.5,10,incumbent,86.626,81.9846,13.3741,0.0,0.0,0.0,0.0,0.0,0.0,negative interaction signals blocked
positive_only_10seed,openai/gpt-5.5,10,transfer_gate_v1,90.098,82.9136,9.902,0.2,3.5,1.1,7.0,0.0,0.0,negative interaction signals blocked
positive_only_10seed,openai/gpt-5.5,10,llm_rule_patch_guarded_positive_interaction_gate_v1,90.3047,83.8054,9.6953,0.1,3.8,2.5,7.0,1.0,0.0,negative interaction signals blocked; not recommended
