run_label,model,max_tokens,mode,seeds,final_best,auc,simple_regret,top10_hit,interventions,bad_interventions,rejected_good_challengers,active_rounds,llm_calls,parse_errors,note
open_policy_gpt5.5,openai/gpt-5.5,1200,no_care_random,5,79.4526,77.7930,20.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,open proposer uses causal_confidence and sum-clipped policy signals; open auditor uses risk-reward approval threshold 0.5
open_policy_gpt5.5,openai/gpt-5.5,1200,incumbent,5,85.7591,80.4911,14.2409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,open proposer uses causal_confidence and sum-clipped policy signals; open auditor uses risk-reward approval threshold 0.5
open_policy_gpt5.5,openai/gpt-5.5,1200,transfer_gate_v1,5,91.5394,81.1316,8.4606,0.2000,4.0000,0.4000,0.0000,7.0000,0.0000,0.0000,open proposer uses causal_confidence and sum-clipped policy signals; open auditor uses risk-reward approval threshold 0.5
open_policy_gpt5.5,openai/gpt-5.5,1200,llm_transfer_open_gate_v1,5,84.4245,80.4021,15.5755,0.0000,1.6000,0.2000,0.0000,7.0000,7.0000,0.0000,open proposer uses causal_confidence and sum-clipped policy signals; open auditor uses risk-reward approval threshold 0.5
open_policy_gpt5.5,openai/gpt-5.5,1200,llm_audit_transfer_open_gate_v1,5,86.6878,80.5840,13.3122,0.0000,1.2000,0.0000,0.0000,7.0000,8.2000,0.0000,open proposer uses causal_confidence and sum-clipped policy signals; open auditor uses risk-reward approval threshold 0.5
unlocked_policy_gpt5.5,openai/gpt-5.5,1200,no_care_random,5,79.4526,77.7930,20.5474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"unlocked proposer starts at 5 target observations, permits policy_weight up to 0.20, weak direction override, and no-gate/audit variants"
unlocked_policy_gpt5.5,openai/gpt-5.5,1200,incumbent,5,85.7591,80.4911,14.2409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,"unlocked proposer starts at 5 target observations, permits policy_weight up to 0.20, weak direction override, and no-gate/audit variants"
unlocked_policy_gpt5.5,openai/gpt-5.5,1200,transfer_gate_v1,5,91.5394,81.1316,8.4606,0.2000,4.0000,0.4000,0.0000,7.0000,0.0000,0.0000,"unlocked proposer starts at 5 target observations, permits policy_weight up to 0.20, weak direction override, and no-gate/audit variants"
unlocked_policy_gpt5.5,openai/gpt-5.5,1200,llm_transfer_unlocked_gate_v1,5,85.8218,79.4702,14.1782,0.0000,1.0000,0.6000,0.0000,7.6000,10.0000,2.4000,"unlocked proposer starts at 5 target observations, permits policy_weight up to 0.20, weak direction override, and no-gate/audit variants"
unlocked_policy_gpt5.5,openai/gpt-5.5,1200,llm_transfer_unlocked_no_gate_v1,5,84.8214,80.0368,15.1786,0.0000,1.2000,0.6000,0.0000,7.2000,10.0000,2.8000,"unlocked proposer starts at 5 target observations, permits policy_weight up to 0.20, weak direction override, and no-gate/audit variants"
unlocked_policy_gpt5.5,openai/gpt-5.5,1200,llm_audit_transfer_unlocked_gate_v1,5,84.0181,76.1951,15.9819,0.0000,2.4000,1.4000,0.0000,8.2000,12.4000,1.8000,"unlocked proposer starts at 5 target observations, permits policy_weight up to 0.20, weak direction override, and no-gate/audit variants"
