task,phase,seed,skill_id,best_so_far_auc,final_best,simple_regret,top10_hit
real_moleculenet_freesolv,development,209100,maximize_hydration_affinity_with_short_smiles,54.4733,69.4333,30.5667,1
real_moleculenet_freesolv,development,209100,downweight_high_hetero_atoms,72.46,77.2333,22.7667,1
real_moleculenet_freesolv,development,209100,optimize_for_aromatic_compounds,68.4967,76.8667,23.1333,1
real_moleculenet_freesolv,development,209100,branching_effect_on_hydration,70.48,77.2333,22.7667,1
real_moleculenet_freesolv,development,209100,counter_hypothesis_on_double_bonds,68.9234,76.8667,23.1333,1
real_moleculenet_freesolv,development,209100,maximize_hydration_with_ring_structures,71.74,76.8667,23.1333,1
real_moleculenet_freesolv,development,209100,low_semantic_mass_for_hydration,70.6933,71.4333,28.5667,1
real_moleculenet_freesolv,development,209101,maximize_hydration_affinity_with_short_smiles,48.8233,50.7333,49.2667,0
real_moleculenet_freesolv,development,209101,downweight_high_hetero_atoms,62.5267,77.2333,22.7667,1
real_moleculenet_freesolv,development,209101,optimize_for_aromatic_compounds,40.3633,43.2667,56.7333,0
real_moleculenet_freesolv,development,209101,branching_effect_on_hydration,67.1766,77.2333,22.7667,1
real_moleculenet_freesolv,development,209101,counter_hypothesis_on_double_bonds,66.3934,76.8667,23.1333,1
real_moleculenet_freesolv,development,209101,maximize_hydration_with_ring_structures,49.0834,53.8,46.2,0
real_moleculenet_freesolv,development,209101,low_semantic_mass_for_hydration,49.62,69.4333,30.5667,1
real_moleculenet_freesolv,development,209102,maximize_hydration_affinity_with_short_smiles,52.4733,77.2333,22.7667,1
real_moleculenet_freesolv,development,209102,downweight_high_hetero_atoms,58.44,77.2333,22.7667,1
real_moleculenet_freesolv,development,209102,optimize_for_aromatic_compounds,73.5333,77.2333,22.7667,1
real_moleculenet_freesolv,development,209102,branching_effect_on_hydration,50.3067,69.4333,30.5667,1
real_moleculenet_freesolv,development,209102,counter_hypothesis_on_double_bonds,65.9866,71.4333,28.5667,1
real_moleculenet_freesolv,development,209102,maximize_hydration_with_ring_structures,89.7767,100.0,0.0,1
real_moleculenet_freesolv,development,209102,low_semantic_mass_for_hydration,54.0534,100.0,0.0,1
real_moleculenet_freesolv,development,209103,maximize_hydration_affinity_with_short_smiles,52.0566,69.4333,30.5667,1
real_moleculenet_freesolv,development,209103,downweight_high_hetero_atoms,72.46,77.2333,22.7667,1
real_moleculenet_freesolv,development,209103,optimize_for_aromatic_compounds,50.7467,53.3667,46.6333,0
real_moleculenet_freesolv,development,209103,branching_effect_on_hydration,57.94,77.2333,22.7667,1
real_moleculenet_freesolv,development,209103,counter_hypothesis_on_double_bonds,65.6666,71.4333,28.5667,1
real_moleculenet_freesolv,development,209103,maximize_hydration_with_ring_structures,67.9666,77.2333,22.7667,1
real_moleculenet_freesolv,development,209103,low_semantic_mass_for_hydration,61.8433,77.2333,22.7667,1
real_moleculenet_freesolv,development,209104,maximize_hydration_affinity_with_short_smiles,52.64,77.2333,22.7667,1
real_moleculenet_freesolv,development,209104,downweight_high_hetero_atoms,62.4433,77.2333,22.7667,1
real_moleculenet_freesolv,development,209104,optimize_for_aromatic_compounds,57.56,76.8667,23.1333,1
real_moleculenet_freesolv,development,209104,branching_effect_on_hydration,63.8333,77.2333,22.7667,1
real_moleculenet_freesolv,development,209104,counter_hypothesis_on_double_bonds,61.62,76.8667,23.1333,1
real_moleculenet_freesolv,development,209104,maximize_hydration_with_ring_structures,59.91,76.8667,23.1333,1
real_moleculenet_freesolv,development,209104,low_semantic_mass_for_hydration,51.61,76.8667,23.1333,1
