policy,calibration_seeds,evaluation_seeds,cal_final_best_mean,cal_best_so_far_auc_mean,cal_top10_hit_mean,eval_final_best_mean,eval_best_so_far_auc_mean,eval_top10_hit_mean
freesolv_value_prior:transfer_value_prior_gate_v1,25,25,90.2,88.29,0.36,89.925,87.642,0.24
freesolv_weighted_kernel:transfer_weighted_gp_ucb_scale_4,25,25,88.995,86.8815,0.12,88.01,85.8785,0.12
freesolv_weighted_kernel:transfer_weighted_gp_ucb_scale_1p5,25,25,88.815,86.8465,0.08,88.315,86.515,0.08
target_only_surrogate:mixed_kernel_gp_ucb,25,25,88.56,86.647,0.08,88.395,86.2685,0.08
target_only_surrogate:mixed_kernel_gp_ei,25,25,88.25,86.066,0.04,88.685,86.5645,0.08
target_only_surrogate:knn_ucb,25,25,87.9,86.721,0.08,87.515,85.6315,0.08
freesolv_value_prior:transfer_value_prior_strict_gate_v1,25,25,87.625,85.803,0.12,88.7,86.561,0.2
esol_value_prior:transfer_value_prior_strict_gate_v1,25,25,87.575,85.8455,0.0,87.96,85.7175,0.08
esol_value_prior:transfer_value_prior_gate_v1,25,25,87.195,85.555,0.0,88.01,85.9095,0.12
target_only_surrogate:public_incumbent,25,25,86.99,85.4535,0.0,87.625,85.6785,0.08
target_only_surrogate:random,25,25,85.78,84.697,0.04,85.75,83.8865,0.0
