run,domain,source,target,heldout_seeds,comparison,metric,mean_delta,ci95_low,ci95_high,significant_positive
freesolv_kernel_500,molecular_property,real_moleculenet_esol,real_moleculenet_freesolv,500,llm_transfer_vs_target_acquisition_portfolio,final_best,1.432603,0.122363,2.742842,true
freesolv_kernel_500,molecular_property,real_moleculenet_esol,real_moleculenet_freesolv,500,llm_transfer_vs_target_acquisition_portfolio,best_so_far_auc,1.384028,0.578855,2.189201,true
freesolv_kernel_500,molecular_property,real_moleculenet_esol,real_moleculenet_freesolv,500,llm_transfer_vs_target_acquisition_portfolio,top10_hit,0.058000,0.007598,0.108402,true
universal_lipophilicity_300,molecular_property,none,real_moleculenet_lipophilicity,300,frozen_llm_schedule_vs_target_acquisition_portfolio,final_best,0.485000,-0.060225,1.030225,false
universal_lipophilicity_300,molecular_property,none,real_moleculenet_lipophilicity,300,frozen_llm_schedule_vs_target_acquisition_portfolio,best_so_far_auc,0.606625,0.129794,1.083456,true
universal_lipophilicity_300,molecular_property,none,real_moleculenet_lipophilicity,300,frozen_llm_schedule_vs_target_acquisition_portfolio,top10_hit,0.040000,-0.003100,0.083100,false
bh_semantic_confirm500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,full_semantic_vs_strongest_target,final_best,3.120786,2.201239,4.040333,true
bh_semantic_confirm500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,full_semantic_vs_strongest_target,best_so_far_auc,2.858796,1.960223,3.757370,true
bh_semantic_confirm500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,full_semantic_vs_strongest_target,top10_hit,0.176000,0.127590,0.224410,true
materials_semantic_confirm500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,full_semantic_vs_strongest_target,final_best,7.224000,4.530852,9.917148,true
materials_semantic_confirm500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,full_semantic_vs_strongest_target,best_so_far_auc,5.930150,4.159210,7.701090,true
materials_semantic_confirm500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,full_semantic_vs_strongest_target,top10_hit,0.164000,0.117527,0.210473,true
bh_semantic_vs_schedule500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,full_semantic_vs_llm_schedule_only,final_best,2.745323,1.887728,3.602918,true
bh_semantic_vs_schedule500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,full_semantic_vs_llm_schedule_only,best_so_far_auc,2.824396,2.053912,3.594880,true
bh_semantic_vs_schedule500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,full_semantic_vs_llm_schedule_only,top10_hit,0.188000,0.137749,0.238251,true
materials_semantic_vs_schedule500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,full_semantic_vs_llm_schedule_only,final_best,6.677500,4.005766,9.349234,true
materials_semantic_vs_schedule500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,full_semantic_vs_llm_schedule_only,best_so_far_auc,5.065175,3.354586,6.775764,true
materials_semantic_vs_schedule500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,full_semantic_vs_llm_schedule_only,top10_hit,0.148000,0.101776,0.194224,true
bh_rule_prior_increment500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,full_semantic_vs_same_features_without_llm_prior,final_best,1.654641,0.928575,2.380707,true
bh_rule_prior_increment500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,full_semantic_vs_same_features_without_llm_prior,best_so_far_auc,1.992892,1.372377,2.613406,true
bh_rule_prior_increment500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,full_semantic_vs_same_features_without_llm_prior,top10_hit,0.094000,0.044948,0.143052,true
materials_rule_prior_increment500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,full_semantic_vs_same_features_without_llm_prior,final_best,2.054000,0.416472,3.691528,true
materials_rule_prior_increment500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,full_semantic_vs_same_features_without_llm_prior,best_so_far_auc,1.377975,0.406470,2.349480,true
materials_rule_prior_increment500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,full_semantic_vs_same_features_without_llm_prior,top10_hit,0.034000,0.004555,0.063445,true
bh_no_prior_vs_target500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,llm_features_without_prior_vs_strongest_target,final_best,1.466145,0.487808,2.444483,true
bh_no_prior_vs_target500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,llm_features_without_prior_vs_strongest_target,best_so_far_auc,0.865905,-0.050343,1.782152,false
bh_no_prior_vs_target500,reaction_hte,real_suzuki_miyaura,real_buchwald_hartwig,500,llm_features_without_prior_vs_strongest_target,top10_hit,0.082000,0.034369,0.129631,true
materials_no_prior_vs_target500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,llm_features_without_prior_vs_strongest_target,final_best,5.170000,2.452449,7.887551,true
materials_no_prior_vs_target500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,llm_features_without_prior_vs_strongest_target,best_so_far_auc,4.552175,2.734802,6.369548,true
materials_no_prior_vs_target500,materials_property,real_matbench_dielectric,real_matbench_expt_gap,500,llm_features_without_prior_vs_strongest_target,top10_hit,0.130000,0.083859,0.176141,true
chemlex_motif_dev50,reaction_wetlab,real_suzuki_miyaura,real_chemlex_acidamine,50,selected_motif_skill_vs_calibrated_target_anchor,final_best,-2.979200,-8.212939,2.254539,false
chemlex_motif_dev50,reaction_wetlab,real_suzuki_miyaura,real_chemlex_acidamine,50,selected_motif_skill_vs_calibrated_target_anchor,best_so_far_auc,-0.255580,-5.218249,4.707089,false
chemlex_motif_dev50,reaction_wetlab,real_suzuki_miyaura,real_chemlex_acidamine,50,selected_motif_skill_vs_calibrated_target_anchor,top10_hit,0.000000,-0.055437,0.055437,false
chemlex_coarse_acid_length_dev50,reaction_wetlab,real_suzuki_miyaura,real_chemlex_acidamine,50,coarse_semantic_skill_vs_strongest_target,final_best,-4.147400,-9.244719,0.949919,false
chemlex_coarse_acid_length_dev50,reaction_wetlab,real_suzuki_miyaura,real_chemlex_acidamine,50,coarse_semantic_skill_vs_strongest_target,best_so_far_auc,-5.004152,-9.471657,-0.536647,false
chemlex_coarse_acid_length_dev50,reaction_wetlab,real_suzuki_miyaura,real_chemlex_acidamine,50,coarse_semantic_skill_vs_strongest_target,top10_hit,0.020000,-0.018806,0.058806,false
