label,metric,baseline_mode,transfer_mode,paired_seed_count,mean_delta,bootstrap_ci_low,bootstrap_ci_high,wins,losses,ties,ci_excludes_zero_positive,note,metrics_file
molecule_value_prior_vs_incumbent_50seed,final_best,incumbent,transfer_value_prior_gate_v1,50,2.755,1.4375,4.0025,34,11,5,True,Shared MoleculeNet descriptor value-prior transfer over the public incumbent.,results/2026-07-03-transfer-advantage-sweep/transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_server_value_prior_freesolv_to_lipo_50seed_metrics.csv
molecule_value_prior_vs_incumbent_50seed,best_so_far_auc,incumbent,transfer_value_prior_gate_v1,50,2.4,1.3405,3.4733,35,11,4,True,Shared MoleculeNet descriptor value-prior transfer over the public incumbent.,results/2026-07-03-transfer-advantage-sweep/transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_server_value_prior_freesolv_to_lipo_50seed_metrics.csv
molecule_value_prior_vs_incumbent_50seed,top10_hit,incumbent,transfer_value_prior_gate_v1,50,0.26,0.14,0.38,13,0,37,True,Shared MoleculeNet descriptor value-prior transfer over the public incumbent.,results/2026-07-03-transfer-advantage-sweep/transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_server_value_prior_freesolv_to_lipo_50seed_metrics.csv
molecule_value_prior_vs_incumbent_50seed,bad_intervention_count,incumbent,transfer_value_prior_gate_v1,50,3.46,2.74,4.18,44,0,6,True,Shared MoleculeNet descriptor value-prior transfer over the public incumbent.,results/2026-07-03-transfer-advantage-sweep/transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_server_value_prior_freesolv_to_lipo_50seed_metrics.csv
reaction_role_transfer_vs_incumbent_50seed,final_best,incumbent,transfer_gate_v1,50,2.4389,0.8078,4.3094,13,5,32,True,Suzuki-to-Buchwald-Hartwig role-level transfer over the public incumbent.,results/2026-07-03-transfer-advantage-sweep/transfer_real_suzuki_miyaura_to_real_buchwald_hartwig_server_suzuki_to_bh_transfer_50seed_metrics.csv
reaction_role_transfer_vs_incumbent_50seed,best_so_far_auc,incumbent,transfer_gate_v1,50,1.1067,0.1809,2.2873,14,10,26,True,Suzuki-to-Buchwald-Hartwig role-level transfer over the public incumbent.,results/2026-07-03-transfer-advantage-sweep/transfer_real_suzuki_miyaura_to_real_buchwald_hartwig_server_suzuki_to_bh_transfer_50seed_metrics.csv
reaction_role_transfer_vs_incumbent_50seed,top10_hit,incumbent,transfer_gate_v1,50,0.08,0.02,0.16,4,0,46,True,Suzuki-to-Buchwald-Hartwig role-level transfer over the public incumbent.,results/2026-07-03-transfer-advantage-sweep/transfer_real_suzuki_miyaura_to_real_buchwald_hartwig_server_suzuki_to_bh_transfer_50seed_metrics.csv
reaction_role_transfer_vs_incumbent_50seed,bad_intervention_count,incumbent,transfer_gate_v1,50,0.86,0.6,1.14,25,0,25,True,Suzuki-to-Buchwald-Hartwig role-level transfer over the public incumbent.,results/2026-07-03-transfer-advantage-sweep/transfer_real_suzuki_miyaura_to_real_buchwald_hartwig_server_suzuki_to_bh_transfer_50seed_metrics.csv
reaction_transfer_weighted_kernel_vs_gpucb_100seed,final_best,gp_ucb,transfer_weighted_gp_ucb_scale_1p5,100,0.3483,-0.7797,1.5775,23,23,54,False,Acquisition-geometry transfer over mixed-kernel GP-UCB; included as a strong-baseline boundary check.,results/2026-07-05-calibrated-transfer-weighted-kernel/tables/transfer_weighted_kernel_real_suzuki_miyaura_to_real_buchwald_hartwig_calibrated_grid_100seed_metrics.csv
reaction_transfer_weighted_kernel_vs_gpucb_100seed,best_so_far_auc,gp_ucb,transfer_weighted_gp_ucb_scale_1p5,100,0.3162,-0.6464,1.4234,32,34,34,False,Acquisition-geometry transfer over mixed-kernel GP-UCB; included as a strong-baseline boundary check.,results/2026-07-05-calibrated-transfer-weighted-kernel/tables/transfer_weighted_kernel_real_suzuki_miyaura_to_real_buchwald_hartwig_calibrated_grid_100seed_metrics.csv
reaction_transfer_weighted_kernel_vs_gpucb_100seed,top10_hit,gp_ucb,transfer_weighted_gp_ucb_scale_1p5,100,-0.01,-0.07,0.05,5,6,89,False,Acquisition-geometry transfer over mixed-kernel GP-UCB; included as a strong-baseline boundary check.,results/2026-07-05-calibrated-transfer-weighted-kernel/tables/transfer_weighted_kernel_real_suzuki_miyaura_to_real_buchwald_hartwig_calibrated_grid_100seed_metrics.csv
molecule_hybrid_value_prior_vs_gpucb_lowbudget5_100seed,final_best,gp_ucb,hybrid_value_prior_gp_ucb_gate_v1,100,0.1462,-0.6987,0.9587,31,23,46,False,Low-budget shared value-prior transfer over GP-UCB; included as a strong-baseline boundary check.,results/2026-07-04-hybrid-transfer-budget-sweep/hybrid_surrogate_transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_lowbudget5_100seed_metrics.csv
molecule_hybrid_value_prior_vs_gpucb_lowbudget5_100seed,best_so_far_auc,gp_ucb,hybrid_value_prior_gp_ucb_gate_v1,100,0.3118,-0.2967,0.9308,36,26,38,False,Low-budget shared value-prior transfer over GP-UCB; included as a strong-baseline boundary check.,results/2026-07-04-hybrid-transfer-budget-sweep/hybrid_surrogate_transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_lowbudget5_100seed_metrics.csv
molecule_hybrid_value_prior_vs_gpucb_lowbudget5_100seed,top10_hit,gp_ucb,hybrid_value_prior_gp_ucb_gate_v1,100,0.05,-0.01,0.11,7,2,91,False,Low-budget shared value-prior transfer over GP-UCB; included as a strong-baseline boundary check.,results/2026-07-04-hybrid-transfer-budget-sweep/hybrid_surrogate_transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_lowbudget5_100seed_metrics.csv
molecule_hybrid_value_prior_vs_gpucb_lowbudget5_100seed,bad_intervention_count,gp_ucb,hybrid_value_prior_gp_ucb_gate_v1,100,1.4,1.2,1.61,80,0,20,True,Low-budget shared value-prior transfer over GP-UCB; included as a strong-baseline boundary check.,results/2026-07-04-hybrid-transfer-budget-sweep/hybrid_surrogate_transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_lowbudget5_100seed_metrics.csv
molecule_target_calibrated_hybrid_vs_gpucb_lowbudget5_100seed,final_best,gp_ucb,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,100,0.1187,-0.355,0.5463,12,7,81,False,Safer target-calibrated shared value-prior transfer over GP-UCB; reduces bad interventions but is not a headline gain.,results/2026-07-11-transfer-significance-audit/tables/hybrid_surrogate_transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_target_calibrated_value_prior_lowbudget5_100seed_metrics.csv
molecule_target_calibrated_hybrid_vs_gpucb_lowbudget5_100seed,best_so_far_auc,gp_ucb,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,100,0.0165,-0.3093,0.3155,15,7,78,False,Safer target-calibrated shared value-prior transfer over GP-UCB; reduces bad interventions but is not a headline gain.,results/2026-07-11-transfer-significance-audit/tables/hybrid_surrogate_transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_target_calibrated_value_prior_lowbudget5_100seed_metrics.csv
molecule_target_calibrated_hybrid_vs_gpucb_lowbudget5_100seed,top10_hit,gp_ucb,hybrid_value_prior_gp_ucb_target_calibrated_gate_v1,100,0.0,0.0,0.0,0,0,100,False,Safer target-calibrated shared value-prior transfer over GP-UCB; reduces bad interventions but is not a headline gain.,results/2026-07-11-transfer-significance-audit/tables/hybrid_surrogate_transfer_real_moleculenet_freesolv_to_real_moleculenet_lipophilicity_target_calibrated_value_prior_lowbudget5_100seed_metrics.csv
