case_id,round_index,observed_count,unrevealed_count,changed_hidden_labels,public_candidate_fingerprint_equal,source_prior_equal,candidate_menu_invariant,menu_diagnostics_invariant,llm_prompt_invariant,saved_prompt_declared_hash_valid,pass
molecular_freesolv_to_esol,0,3,1125,1123,True,True,True,True,True,True,True
molecular_freesolv_to_esol,1,4,1124,1119,True,True,True,True,True,True,True
molecular_freesolv_to_esol,2,5,1123,1123,True,True,True,True,True,True,True
molecular_freesolv_to_esol,3,6,1122,1122,True,True,True,True,True,True,True
molecular_freesolv_to_esol,4,7,1121,1121,True,True,True,True,True,True,True
molecular_freesolv_to_esol,5,8,1120,1117,True,True,True,True,True,True,True
molecular_freesolv_to_esol,6,9,1119,1117,True,True,True,True,True,True,True
molecular_freesolv_to_esol,7,10,1118,1118,True,True,True,True,True,True,True
molecular_freesolv_to_esol,8,11,1117,1116,True,True,True,True,True,True,True
molecular_freesolv_to_esol,9,12,1116,1114,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,0,3,4197,4181,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,1,4,4196,4183,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,2,5,4195,4178,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,3,6,4194,4183,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,4,7,4193,4178,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,5,8,4192,4172,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,6,9,4191,4167,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,7,10,4190,4171,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,8,11,4189,4174,True,True,True,True,True,True,True
molecular_freesolv_to_lipophilicity,9,12,4188,4178,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,0,3,4761,4761,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,1,4,4760,4757,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,2,5,4759,4759,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,3,6,4758,4757,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,4,7,4757,4757,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,5,8,4756,4755,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,6,9,4755,4752,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,7,10,4754,4753,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,8,11,4753,4749,True,True,True,True,True,True,True
materials_expt_gap_to_dielectric,9,12,4752,4750,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,0,3,10984,10931,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,1,4,10983,10935,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,2,5,10982,10936,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,3,6,10981,10917,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,4,7,10980,10927,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,5,8,10979,10925,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,6,9,10978,10919,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,7,10,10977,10932,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,8,11,10976,10932,True,True,True,True,True,True,True
materials_phonons_to_bulk_modulus,9,12,10975,10931,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,0,3,633,633,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,1,4,632,631,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,2,5,631,630,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,3,6,630,630,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,4,7,629,629,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,5,8,628,628,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,6,9,627,626,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,7,10,626,623,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,8,11,625,624,True,True,True,True,True,True,True
materials_dielectric_to_jdft2d,9,12,624,622,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,0,3,106110,86057,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,1,4,106109,86163,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,2,5,106108,85928,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,3,6,106107,85918,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,4,7,106106,86115,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,5,8,106105,85821,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,6,9,106104,86073,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,7,10,106103,86031,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,8,11,106102,86015,True,True,True,True,True,True,True
materials_expt_gap_to_mp_gap,9,12,106101,85918,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,0,3,20,20,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,1,4,19,17,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,2,5,18,16,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,3,6,17,17,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,4,7,16,16,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,5,8,15,15,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,6,9,14,14,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,7,10,13,13,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,8,11,12,12,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_alphos,9,12,11,11,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,0,3,29,29,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,1,4,28,26,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,2,5,27,27,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,3,6,26,26,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,4,7,25,21,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,5,8,24,23,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,6,9,23,21,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,7,10,22,22,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,8,11,21,21,True,True,True,True,True,True,True
baumgartner_aniline_to_benzamide_tbuxphos,9,12,20,20,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_tbubrettphos,0,3,31,31,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_tbubrettphos,1,4,30,30,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_tbubrettphos,2,5,29,29,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_tbubrettphos,3,6,28,27,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_tbubrettphos,4,7,27,24,True,True,True,True,True,True,True
baumgartner_aniline_to_phenethylamine_tbubrettphos,5,8,26,26,True,True,True,True,True,True,True
