case_id,domain,evidence_tier,round_index,model,selected_candidate,selected_by,gp_rank_at_selection,llm_probability,gp_probability,gp_probability_source,current_best_before_reveal,expected_outcome,revealed_value,realized_improvement,realized_gain,absolute_expected_outcome_error,llm_brier,gp_brier,llm_minus_gp_brier
molecular_freesolv_to_esol,molecular_property,retrospective_development,0,anthropic/claude-opus-4-8,esol_common_0341,llm_critic,1,0.3,0.298881,recorded,88.2143,80.14,91.0,1,2.7857000000000056,10.86,0.48999999999999994,0.4915678521610001,-0.0015678521610001384
molecular_freesolv_to_esol,molecular_property,retrospective_development,1,anthropic/claude-opus-4-8,esol_common_0233,llm_critic,1,0.3,0.340378,recorded,91.0,84.59,86.1429,0,0.0,1.552899999999994,0.09,0.11585718288400002,-0.02585718288400002
molecular_freesolv_to_esol,molecular_property,retrospective_development,2,anthropic/claude-opus-4-8,esol_common_0448,llm_critic,2,0.26,0.279167,recorded,91.0,80.6,74.2857,0,0.0,6.314299999999989,0.06760000000000001,0.077934213889,-0.010334213888999993
molecular_freesolv_to_esol,molecular_property,retrospective_development,3,anthropic/claude-opus-4-8,esol_common_0537,llm_critic,3,0.22,0.234583,recorded,91.0,78.9,79.6429,0,0.0,0.7428999999999917,0.0484,0.05502918388900001,-0.006629183889000009
molecular_freesolv_to_esol,molecular_property,retrospective_development,4,anthropic/claude-opus-4-8,esol_common_0230,llm_critic,1,0.2,0.204845,recorded,91.0,77.0,82.5714,0,0.0,5.571399999999997,0.04000000000000001,0.041961474025,-0.001961474024999993
molecular_freesolv_to_esol,molecular_property,retrospective_development,5,anthropic/claude-opus-4-8,esol_common_0834,llm_critic,5,0.15,0.217718,recorded,91.0,79.0,71.0714,0,0.0,7.928600000000003,0.0225,0.047401127524,-0.024901127523999998
molecular_freesolv_to_esol,molecular_property,retrospective_development,6,anthropic/claude-opus-4-8,esol_common_0437,llm_critic,1,0.1,0.187354,recorded,91.0,77.66,78.1429,0,0.0,0.4829000000000008,0.010000000000000002,0.035101521316,-0.025101521316
molecular_freesolv_to_esol,molecular_property,retrospective_development,7,anthropic/claude-opus-4-8,esol_common_0381,llm_critic,1,0.18,0.198478,recorded,91.0,80.26,72.5714,0,0.0,7.688600000000008,0.0324,0.039393516483999996,-0.006993516483999998
molecular_freesolv_to_esol,molecular_property,retrospective_development,8,anthropic/claude-opus-4-8,esol_common_0312,llm_critic,1,0.12,0.154682,recorded,91.0,79.0,53.7857,0,0.0,25.2143,0.0144,0.023926521123999997,-0.009526521123999997
molecular_freesolv_to_esol,molecular_property,retrospective_development,9,anthropic/claude-opus-4-8,esol_common_0183,llm_critic,1,0.1,0.188539,recorded,91.0,80.1,85.0571,0,0.0,4.957100000000011,0.010000000000000002,0.035546954521000006,-0.025546954521000004
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,0,anthropic/claude-opus-4-8,lipo_0635,llm_critic,4,0.33,0.33355,recorded,67.25,59.6231,86.875,1,19.625,27.2519,0.4488999999999999,0.44415560249999997,0.004744397499999942
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,1,anthropic/claude-opus-4-8,lipo_3157,llm_critic,1,0.29,0.287299,recorded,86.875,76.86,89.875,1,3.0,13.015,0.5041,0.507942715401,-0.0038427154010000075
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,2,anthropic/claude-opus-4-8,lipo_2400,llm_critic,1,0.26,0.263884,recorded,89.875,75.72,56.625,0,0.0,19.095,0.06760000000000001,0.069634765456,-0.0020347654559999956
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,3,anthropic/claude-opus-4-8,lipo_0902,llm_critic,1,0.29,0.290035,recorded,89.875,80.73,49.625,0,0.0,31.105000000000004,0.0841,0.084120301225,-2.0301225000005085e-05
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,4,anthropic/claude-opus-4-8,lipo_1626,llm_critic,1,0.19,0.190377,recorded,89.875,72.84,70.125,0,0.0,2.7150000000000034,0.0361,0.036243402129,-0.000143402128999999
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,5,anthropic/claude-opus-4-8,lipo_2234,llm_critic,1,0.5,0.133768,recorded,89.875,0.0,41.375,0,0.0,41.375,0.25,0.017893877824,0.232106122176
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,6,anthropic/claude-opus-4-8,lipo_0044,llm_critic,2,0.5,0.241837,recorded,89.875,86.29,35.5,0,0.0,50.790000000000006,0.25,0.058485134569,0.191514865431
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,7,anthropic/claude-opus-4-8,lipo_2604,llm_critic,1,0.09,0.09256,recorded,89.875,65.03,46.375,0,0.0,18.655,0.0081,0.0085673536,-0.0004673536000000013
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,8,anthropic/claude-opus-4-8,lipo_2989,llm_critic,1,0.082,0.081526,recorded,89.875,65.61,72.625,0,0.0,7.015000000000001,0.006724000000000001,0.006646488676,7.751132400000103e-05
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,9,anthropic/claude-opus-4-8,lipo_0058,llm_critic,1,0.083,0.083375,recorded,89.875,67.05,64.25,0,0.0,2.799999999999997,0.006889000000000001,0.0069513906250000005,-6.239062499999951e-05
materials_expt_gap_to_dielectric,materials_property,retrospective_development,0,anthropic/claude-opus-4-8,real_matbench_dielectric_04424,llm_critic,5,0.45,0.465813,recorded,24.2902,23.862,59.5114,1,35.2212,35.6494,0.30250000000000005,0.28535575096899995,0.01714424903100009
materials_expt_gap_to_dielectric,materials_property,retrospective_development,1,anthropic/claude-opus-4-8,real_matbench_dielectric_04369,llm_critic,1,0.14,0.138662,recorded,59.5114,45.1244,37.3408,0,0.0,7.7836,0.019600000000000003,0.019227150244000003,0.0003728497560000002
