series,bin_index,bin_low,bin_high,count,mean_probability,observed_improvement_rate
llm,0,0.0,0.2,70,0.1050857142857143,0.05714285714285714
llm,1,0.2,0.4,90,0.2812555555555555,0.2222222222222222
llm,2,0.4,0.6,10,0.449,0.3
llm,3,0.6,0.8,0,,
llm,4,0.8,1.0,0,,
gp_same_candidate,0,0.0,0.2,93,0.09704449173445098,0.0967741935483871
gp_same_candidate,1,0.2,0.4,74,0.2752947010849576,0.22972972972972974
gp_same_candidate,2,0.4,0.6,3,0.49496633333333334,0.3333333333333333
gp_same_candidate,3,0.6,0.8,0,,
gp_same_candidate,4,0.8,1.0,0,,
