source_domain,target_domain,method,n,final_best_mean,final_best_std,best_so_far_auc_mean,best_so_far_auc_std,simple_regret_mean,simple_regret_std,top10_hit_mean,top10_hit_std,intervention_count_mean,intervention_count_std,bad_intervention_count_mean,bad_intervention_count_std
bh,suzuki,care_no_gate,3,99.7664,0.0,95.96819,1.42959,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0
bh,suzuki,care_transfer,3,95.17143,4.19401,88.88157,3.11234,4.59497,4.19401,1.0,0.0,0.33333,0.57735,0.0,0.0
bh,suzuki,kernel_ucb,3,97.0274,4.74409,91.17522,6.60217,2.739,4.74409,1.0,0.0,0.0,0.0,0.0,0.0
bh,suzuki,llm_bo,3,99.7664,0.0,93.35697,4.25363,0.0,0.0,1.0,0.0,4.66667,1.1547,1.0,1.0
bh,suzuki,llm_target_only,3,94.56707,4.52212,88.32326,2.82544,5.19933,4.52212,1.0,0.0,0.0,0.0,0.0,0.0
bh,suzuki,llm_transfer,3,99.7664,0.0,97.18552,0.27577,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0
bh,suzuki,random,3,80.6467,7.72447,78.10599,3.73034,19.1197,7.72447,0.33333,0.57735,0.0,0.0,0.0,0.0
real_chemlex_train,real_chemlex_test,care_no_gate,3,88.16333,13.7573,88.16333,13.7573,11.83667,13.7573,0.66667,0.57735,4.66667,1.1547,0.66667,1.1547
real_chemlex_train,real_chemlex_test,care_transfer,3,91.46667,8.12909,89.63148,11.24425,8.53333,8.12909,0.66667,0.57735,0.0,0.0,0.0,0.0
real_chemlex_train,real_chemlex_test,kernel_ucb,3,88.16333,13.7573,88.16333,13.7573,11.83667,13.7573,0.66667,0.57735,0.0,0.0,0.0,0.0
real_chemlex_train,real_chemlex_test,llm_bo,3,91.46667,8.12909,89.99852,10.6182,8.53333,8.12909,0.66667,0.57735,4.33333,1.52753,0.66667,1.1547
real_chemlex_train,real_chemlex_test,llm_target_only,3,91.46667,8.12909,89.63148,11.24425,8.53333,8.12909,0.66667,0.57735,0.0,0.0,0.0,0.0
real_chemlex_train,real_chemlex_test,llm_transfer,3,91.91,7.38466,89.41222,11.61873,8.09,7.38466,0.66667,0.57735,8.0,0.0,0.0,0.0
real_chemlex_train,real_chemlex_test,random,3,97.11667,2.67442,91.14778,8.66708,2.88333,2.67442,1.0,0.0,0.0,0.0,0.0,0.0
suzuki,chemlex,care_no_gate,3,95.556,2.09977,93.00751,0.91086,1.2123,2.09977,1.0,0.0,7.0,1.0,0.0,0.0
suzuki,chemlex,care_transfer,3,95.556,2.09977,92.67158,1.77387,1.2123,2.09977,1.0,0.0,0.66667,1.1547,0.0,0.0
suzuki,chemlex,kernel_ucb,3,94.6878,3.60353,92.65692,3.32057,2.0805,3.60353,1.0,0.0,0.0,0.0,0.0,0.0
suzuki,chemlex,llm_bo,3,95.556,2.09977,92.67158,1.77387,1.2123,2.09977,1.0,0.0,5.0,1.0,0.33333,0.57735
suzuki,chemlex,llm_target_only,3,93.97933,2.47638,92.78501,0.75225,2.78897,2.47638,1.0,0.0,0.0,0.0,0.0,0.0
suzuki,chemlex,llm_transfer,3,94.3437,2.09977,93.12905,0.35807,2.4246,2.09977,1.0,0.0,8.0,0.0,0.0,0.0
suzuki,chemlex,random,3,89.83773,3.92697,89.83773,3.92697,6.93057,3.92697,1.0,0.0,0.0,0.0,0.0,0.0
