run_label,mode,seed,round_index,observed_count,selected_by,gate_authorized,gate_reason,revealed_value,best_so_far,llm_called,parse_error,applied_spec_count,rejected_spec_count,max_abs_adjustment,applied_specs,rejected_reasons
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,0,5,incumbent,False,challenger_matches_incumbent,27.3101,70.6299,,False,0,0,0.0,,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,1,6,incumbent,False,challenger_matches_incumbent,46.6325,70.6299,,False,0,0,0.0,,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,2,7,incumbent,False,challenger_matches_incumbent,46.0142,70.6299,,False,0,0,0.0,,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,3,8,incumbent,False,challenger_matches_incumbent,34.8063,70.6299,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,4,9,incumbent,False,challenger_matches_incumbent,40.2711,70.6299,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,5,10,incumbent,False,challenger_matches_incumbent,14.8669,70.6299,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,6,11,incumbent,False,challenger_matches_incumbent,26.6781,70.6299,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,7,12,incumbent,False,challenger_matches_incumbent,38.9505,70.6299,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,8,13,incumbent,False,challenger_matches_incumbent,64.8842,70.6299,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,0,9,14,incumbent,False,challenger_matches_incumbent,24.0134,70.6299,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,0,5,incumbent,False,challenger_matches_incumbent,52.5994,74.0607,,False,0,0,0.0,,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,1,6,incumbent,False,challenger_matches_incumbent,60.5287,74.0607,,False,0,0,0.0,,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,2,7,incumbent,False,challenger_matches_incumbent,13.791,74.0607,,False,0,0,0.0,,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,3,8,incumbent,False,challenger_matches_incumbent,45.7793,74.0607,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,4,9,incumbent,False,challenger_matches_incumbent,85.2207,85.2207,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,5,10,incumbent,False,challenger_matches_incumbent,84.4027,85.2207,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,6,11,incumbent,False,challenger_matches_incumbent,86.1982,86.1982,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,7,12,incumbent,False,challenger_matches_incumbent,92.659,92.659,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,8,13,incumbent,False,challenger_matches_incumbent,92.1307,92.659,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,1,9,14,incumbent,False,challenger_matches_incumbent,92.3912,92.659,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,2,0,5,incumbent,False,challenger_matches_incumbent,65.0666,75.2915,,False,0,0,0.0,,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,2,1,6,incumbent,False,challenger_matches_incumbent,49.3022,75.2915,,False,0,0,0.0,,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,2,2,7,incumbent,False,challenger_matches_incumbent,36.5499,75.2915,,False,0,0,0.0,,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,2,3,8,incumbent,False,challenger_matches_incumbent,38.5232,75.2915,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,2,4,9,incumbent,False,challenger_matches_incumbent,52.9077,75.2915,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
v3_strict_700tok,llm_audit_transfer_strict_gate_v1,2,5,10,incumbent,False,challenger_matches_incumbent,54.2458,75.2915,,False,3,0,0.055,=::w=:n=:eff=|=::w=:n=:eff=|=::w=:n=:eff=,
