dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,mean_historical_novelty,mean_within_batch_distance,challenger_change_rate,gate_authorization_rate,llm_call_count
real_moleculenet_freesolv,incumbent_batch,50,71.4333,71.4333,28.5667,1,0.19048,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,51,42.6,42.6,57.4,0,0.28571,0.14286,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,52,49.1,47.1,50.9,0,0.11905,0.19048,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,53,50.0,50.0,50.0,0,0.38095,0.61905,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,54,68.2,68.2,31.8,0,0.2381,0.09524,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,55,43.2667,38.1111,56.7333,0,0.30952,0.2381,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,56,68.2,68.2,31.8,0,0.16667,0.2381,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,57,77.2333,73.7444,22.7667,1,0.19048,0.0,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,58,43.2667,41.8222,56.7333,0,0.2619,0.19048,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,59,71.4333,71.4333,28.5667,1,0.11905,0.09524,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,60,68.2,53.4889,31.8,0,0.30952,0.28571,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,61,71.4333,65.1555,28.5667,1,0.19048,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,62,43.2667,41.0889,56.7333,0,0.38095,0.28571,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,63,76.8667,76.8667,23.1333,1,0.11905,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,64,71.4333,64.2889,28.5667,1,0.35714,0.42857,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,65,40.0,40.0,60.0,0,0.33333,0.47619,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,66,52.1333,50.7222,47.8667,0,0.38095,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,67,48.3667,48.3667,51.6333,0,0.21429,0.14286,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,68,61.4333,61.4333,38.5667,0,0.04762,0.0,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,69,43.2667,40.4667,56.7333,0,0.45238,0.2381,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,70,50.5667,50.5667,49.4333,0,0.30952,0.19048,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,71,71.4333,64.0666,28.5667,1,0.33333,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,72,77.2333,73.7444,22.7667,1,0.14286,0.0,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,73,50.0,50.0,50.0,0,0.40476,0.28571,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,74,76.8667,76.8667,23.1333,1,0.11905,0.04762,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,75,68.2,61.7222,31.8,0,0.2619,0.28571,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,76,100.0,100.0,0.0,1,0.2381,0.09524,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,77,100.0,100.0,0.0,1,0.21429,0.19048,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,78,43.2667,41.1778,56.7333,0,0.16667,0.42857,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,79,64.0333,56.1111,35.9667,0,0.16667,0.04762,0.0,0.0,0
real_moleculenet_freesolv,target_diverse_batch_gate,50,71.4333,71.4333,28.5667,1,0.2381,0.38095,0.33333,0.16667,0
real_moleculenet_freesolv,target_diverse_batch_gate,51,48.0,44.4,52.0,0,0.54762,0.52381,0.83333,0.83333,0
real_moleculenet_freesolv,target_diverse_batch_gate,52,71.4333,71.4333,28.5667,1,0.35714,0.2381,0.66667,0.33333,0
real_moleculenet_freesolv,target_diverse_batch_gate,53,50.0,50.0,50.0,0,0.54762,0.61905,0.5,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,54,68.2,56.0667,31.8,0,0.5,0.52381,0.83333,0.66667,0
real_moleculenet_freesolv,target_diverse_batch_gate,55,56.1667,46.0778,43.8333,0,0.57143,0.61905,0.5,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,56,56.1667,53.7,43.8333,0,0.40476,0.57143,1.0,1.0,0
real_moleculenet_freesolv,target_diverse_batch_gate,57,68.2,68.2,31.8,0,0.28571,0.28571,0.66667,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,58,68.2,51.7111,31.8,0,0.59524,0.2381,0.66667,0.33333,0
real_moleculenet_freesolv,target_diverse_batch_gate,59,71.4333,63.7666,28.5667,1,0.30952,0.57143,0.5,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,60,46.1333,46.1333,53.8667,0,0.42857,0.61905,0.5,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,61,71.4333,65.1555,28.5667,1,0.45238,0.61905,0.5,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,62,40.0,40.0,60.0,0,0.59524,0.38095,1.0,0.83333,0
real_moleculenet_freesolv,target_diverse_batch_gate,63,76.8667,76.8667,23.1333,1,0.28571,0.42857,0.83333,0.83333,0
real_moleculenet_freesolv,target_diverse_batch_gate,64,50.0,50.0,50.0,0,0.57143,0.66667,1.0,1.0,0
real_moleculenet_freesolv,target_diverse_batch_gate,65,71.4333,63.6222,28.5667,1,0.40476,0.47619,0.66667,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,66,47.9,47.9,52.1,0,0.66667,0.47619,0.66667,0.66667,0
real_moleculenet_freesolv,target_diverse_batch_gate,67,48.3667,48.3667,51.6333,0,0.33333,0.38095,0.83333,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,68,61.4333,61.4333,38.5667,0,0.21429,0.19048,1.0,0.33333,0
real_moleculenet_freesolv,target_diverse_batch_gate,69,71.4333,60.6444,28.5667,1,0.54762,0.42857,0.83333,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,70,71.4333,64.4778,28.5667,1,0.57143,0.38095,0.66667,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,71,71.4333,64.0666,28.5667,1,0.42857,0.42857,0.66667,0.5,0
real_moleculenet_freesolv,target_diverse_batch_gate,72,56.1667,50.6556,43.8333,0,0.42857,0.47619,0.83333,0.83333,0
real_moleculenet_freesolv,target_diverse_batch_gate,73,71.4333,64.2889,28.5667,1,0.57143,0.38095,0.5,0.33333,0
real_moleculenet_freesolv,target_diverse_batch_gate,74,76.8667,76.8667,23.1333,1,0.16667,0.33333,0.5,0.33333,0
real_moleculenet_freesolv,target_diverse_batch_gate,75,56.1667,51.2334,43.8333,0,0.5,0.71429,0.83333,0.83333,0
