dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,mean_historical_novelty,mean_within_batch_distance,challenger_change_rate,gate_authorization_rate,llm_call_count
real_moleculenet_freesolv,incumbent_batch,50,71.4333,71.4333,28.5667,1,0.19048,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,51,42.6,42.6,57.4,0,0.28571,0.14286,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,52,49.1,47.1,50.9,0,0.11905,0.19048,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,53,50.0,50.0,50.0,0,0.38095,0.61905,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,54,68.2,68.2,31.8,0,0.2381,0.09524,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,55,43.2667,38.1111,56.7333,0,0.30952,0.2381,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,56,68.2,68.2,31.8,0,0.16667,0.2381,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,57,77.2333,73.7444,22.7667,1,0.19048,0.0,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,58,43.2667,41.8222,56.7333,0,0.2619,0.19048,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,59,71.4333,71.4333,28.5667,1,0.11905,0.09524,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,60,68.2,53.4889,31.8,0,0.30952,0.28571,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,61,71.4333,65.1555,28.5667,1,0.19048,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,62,43.2667,41.0889,56.7333,0,0.38095,0.28571,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,63,76.8667,76.8667,23.1333,1,0.11905,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,64,71.4333,64.2889,28.5667,1,0.35714,0.42857,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,65,40.0,40.0,60.0,0,0.33333,0.47619,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,66,52.1333,50.7222,47.8667,0,0.38095,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,67,48.3667,48.3667,51.6333,0,0.21429,0.14286,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,68,61.4333,61.4333,38.5667,0,0.04762,0.0,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,69,43.2667,40.4667,56.7333,0,0.45238,0.2381,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,70,50.5667,50.5667,49.4333,0,0.30952,0.19048,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,71,71.4333,64.0666,28.5667,1,0.33333,0.33333,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,72,77.2333,73.7444,22.7667,1,0.14286,0.0,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,73,50.0,50.0,50.0,0,0.40476,0.28571,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,74,76.8667,76.8667,23.1333,1,0.11905,0.04762,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,75,68.2,61.7222,31.8,0,0.2619,0.28571,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,76,100.0,100.0,0.0,1,0.2381,0.09524,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,77,100.0,100.0,0.0,1,0.21429,0.19048,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,78,43.2667,41.1778,56.7333,0,0.16667,0.42857,0.0,0.0,0
real_moleculenet_freesolv,incumbent_batch,79,64.0333,56.1111,35.9667,0,0.16667,0.04762,0.0,0.0,0
real_moleculenet_freesolv,target_diverse_batch,50,71.4333,71.4333,28.5667,1,0.2619,0.42857,0.5,0.0,0
real_moleculenet_freesolv,target_diverse_batch,51,48.0,44.4,52.0,0,0.54762,0.52381,0.83333,0.0,0
real_moleculenet_freesolv,target_diverse_batch,52,71.4333,71.4333,28.5667,1,0.30952,0.47619,0.66667,0.0,0
real_moleculenet_freesolv,target_diverse_batch,53,50.0,50.0,50.0,0,0.54762,0.61905,0.5,0.0,0
real_moleculenet_freesolv,target_diverse_batch,54,56.1667,52.0556,43.8333,0,0.5,0.66667,0.83333,0.0,0
real_moleculenet_freesolv,target_diverse_batch,55,56.1667,46.0778,43.8333,0,0.57143,0.61905,0.5,0.0,0
real_moleculenet_freesolv,target_diverse_batch,56,56.1667,53.7,43.8333,0,0.40476,0.57143,1.0,0.0,0
real_moleculenet_freesolv,target_diverse_batch,57,52.6,52.6,47.4,0,0.35714,0.52381,0.83333,0.0,0
real_moleculenet_freesolv,target_diverse_batch,58,43.2667,40.3778,56.7333,0,0.5,0.52381,0.83333,0.0,0
real_moleculenet_freesolv,target_diverse_batch,59,71.4333,63.7666,28.5667,1,0.30952,0.57143,0.5,0.0,0
real_moleculenet_freesolv,target_diverse_batch,60,46.1333,46.1333,53.8667,0,0.42857,0.61905,0.5,0.0,0
real_moleculenet_freesolv,target_diverse_batch,61,71.4333,65.1555,28.5667,1,0.45238,0.61905,0.5,0.0,0
real_moleculenet_freesolv,target_diverse_batch,62,71.4333,50.4778,28.5667,1,0.66667,0.52381,1.0,0.0,0
real_moleculenet_freesolv,target_diverse_batch,63,76.8667,76.8667,23.1333,1,0.28571,0.42857,0.83333,0.0,0
real_moleculenet_freesolv,target_diverse_batch,64,50.0,50.0,50.0,0,0.57143,0.66667,1.0,0.0,0
real_moleculenet_freesolv,target_diverse_batch,65,71.4333,63.6222,28.5667,1,0.40476,0.57143,0.66667,0.0,0
real_moleculenet_freesolv,target_diverse_batch,66,47.9,47.9,52.1,0,0.66667,0.47619,0.66667,0.0,0
real_moleculenet_freesolv,target_diverse_batch,67,56.1667,50.9667,43.8333,0,0.33333,0.52381,0.66667,0.0,0
real_moleculenet_freesolv,target_diverse_batch,68,61.4333,61.4333,38.5667,0,0.33333,0.57143,0.66667,0.0,0
real_moleculenet_freesolv,target_diverse_batch,69,71.4333,60.6444,28.5667,1,0.57143,0.66667,0.66667,0.0,0
real_moleculenet_freesolv,target_diverse_batch,70,71.4333,64.4778,28.5667,1,0.54762,0.52381,0.66667,0.0,0
real_moleculenet_freesolv,target_diverse_batch,71,71.4333,64.0666,28.5667,1,0.42857,0.52381,0.66667,0.0,0
real_moleculenet_freesolv,target_diverse_batch,72,56.1667,50.6556,43.8333,0,0.42857,0.47619,0.83333,0.0,0
real_moleculenet_freesolv,target_diverse_batch,73,50.0,50.0,50.0,0,0.54762,0.47619,0.83333,0.0,0
real_moleculenet_freesolv,target_diverse_batch,74,76.8667,76.8667,23.1333,1,0.21429,0.42857,0.5,0.0,0
real_moleculenet_freesolv,target_diverse_batch,75,56.1667,51.2334,43.8333,0,0.5,0.71429,0.83333,0.0,0
real_moleculenet_freesolv,target_diverse_batch,76,100.0,100.0,0.0,1,0.38095,0.47619,0.66667,0.0,0
real_moleculenet_freesolv,target_diverse_batch,77,100.0,100.0,0.0,1,0.30952,0.47619,0.66667,0.0,0
