dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,mean_historical_novelty,mean_within_batch_distance,challenger_change_rate,gate_authorization_rate,llm_call_count
real_chemlex_acidamine,incumbent_batch,50,92.7,92.7,7.3,0,0.4,0.4,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,51,77.18,77.18,22.82,0,0.33333,0.33333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,52,94.66,93.268,5.34,0,0.33333,0.33333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,53,90.61,70.81,9.39,0,0.3,0.46667,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,54,74.83,74.83,25.17,0,0.33333,0.53333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,55,100.0,100.0,0.0,1,0.36667,0.46667,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,56,43.61,43.61,56.39,0,0.33333,0.33333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,57,74.29,74.29,25.71,0,0.36667,0.46667,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,58,62.3,60.72,37.7,0,0.46667,0.4,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,59,91.64,73.3133,8.36,0,0.36667,0.46667,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,60,99.3,99.3,0.7,0,0.4,0.46667,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,61,78.52,78.52,21.48,0,0.4,0.4,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,62,97.13,97.13,2.87,0,0.4,0.6,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,63,94.26,79.36,5.74,0,0.3,0.33333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,64,96.49,94.39,3.51,0,0.4,0.46667,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,65,99.1,96.0667,0.9,0,0.4,0.4,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,66,39.28,39.28,60.72,0,0.43333,0.46667,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,67,90.4,90.4,9.6,0,0.3,0.33333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,68,10.0,10.0,90.0,0,0.56667,0.53333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,69,68.37,68.37,31.63,0,0.33333,0.53333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,70,87.82,87.82,12.18,0,0.4,0.4,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,71,91.08,68.8667,8.92,0,0.4,0.4,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,72,94.45,94.3033,5.55,0,0.4,0.26667,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,73,99.3,99.3,0.7,0,0.4,0.4,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,74,89.15,86.7067,10.85,0,0.3,0.53333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,75,92.72,92.72,7.28,0,0.3,0.4,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,76,91.64,91.64,8.36,0,0.4,0.6,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,77,67.6,67.6,32.4,0,0.33333,0.53333,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,78,76.44,76.44,23.56,0,0.36667,0.46667,0.0,0.0,0
real_chemlex_acidamine,incumbent_batch,79,51.5,49.0,48.5,0,0.4,0.4,0.0,0.0,0
real_chemlex_acidamine,target_diverse_batch,50,92.7,92.7,7.3,0,0.4,0.4,0.0,0.0,0
real_chemlex_acidamine,target_diverse_batch,51,77.18,77.18,22.82,0,0.33333,0.53333,0.16667,0.0,0
real_chemlex_acidamine,target_diverse_batch,52,94.66,93.964,5.34,0,0.26667,0.6,0.16667,0.0,0
real_chemlex_acidamine,target_diverse_batch,53,90.61,70.81,9.39,0,0.3,0.46667,0.0,0.0,0
real_chemlex_acidamine,target_diverse_batch,54,76.35,75.8433,23.65,0,0.36667,0.6,0.5,0.0,0
real_chemlex_acidamine,target_diverse_batch,55,100.0,100.0,0.0,1,0.4,0.46667,0.33333,0.0,0
real_chemlex_acidamine,target_diverse_batch,56,28.78,28.78,71.22,0,0.66667,0.4,1.0,0.0,0
real_chemlex_acidamine,target_diverse_batch,57,74.29,74.29,25.71,0,0.36667,0.46667,0.16667,0.0,0
real_chemlex_acidamine,target_diverse_batch,58,57.56,57.56,42.44,0,0.56667,0.53333,0.5,0.0,0
real_chemlex_acidamine,target_diverse_batch,59,91.64,73.3133,8.36,0,0.5,0.53333,0.16667,0.0,0
real_chemlex_acidamine,target_diverse_batch,60,99.3,99.3,0.7,0,0.4,0.46667,0.0,0.0,0
real_chemlex_acidamine,target_diverse_batch,61,78.52,78.52,21.48,0,0.43333,0.46667,0.16667,0.0,0
real_chemlex_acidamine,target_diverse_batch,62,97.13,97.13,2.87,0,0.4,0.6,0.0,0.0,0
real_chemlex_acidamine,target_diverse_batch,63,91.48,82.4267,8.52,0,0.4,0.46667,0.33333,0.0,0
real_chemlex_acidamine,target_diverse_batch,64,96.49,94.39,3.51,0,0.4,0.46667,0.0,0.0,0
real_chemlex_acidamine,target_diverse_batch,65,99.1,96.0667,0.9,0,0.4,0.4,0.0,0.0,0
