mode,calibration_seeds,evaluation_seeds,cal_final_best_mean,cal_best_so_far_auc_mean,cal_top10_hit_mean,eval_final_best_mean,eval_best_so_far_auc_mean,eval_top10_hit_mean,cal_delta_final_vs_baseline,cal_delta_auc_vs_baseline,cal_delta_top10_vs_baseline,eval_delta_final_vs_baseline,eval_delta_auc_vs_baseline,eval_delta_top10_vs_baseline,cal_balanced_score
transfer_weighted_gp_ucb_scale_1p5,50,50,91.4146,83.2862,0.26,91.5983,83.5122,0.24,0.3001,0.3162,-0.06,0.3966,0.3162,0.04,174.9608
gp_ucb,50,50,91.1145,82.97,0.32,91.2017,83.196,0.2,0.0,0.0,0.0,0.0,0.0,0.0,174.4045
transfer_weighted_gp_ucb_scale_0p75,50,50,90.4818,83.1844,0.24,91.6207,83.8018,0.2,-0.6327,0.2144,-0.08,0.419,0.6058,0.0,173.9062
transfer_weighted_gp_ucb_scale_1p25,50,50,90.674,82.9328,0.24,91.758,83.4397,0.22,-0.4405,-0.0372,-0.08,0.5563,0.2437,0.02,173.8468
transfer_weighted_gp_ucb_scale_4,50,50,91.4524,82.102,0.26,91.2152,83.3039,0.18,0.3379,-0.868,-0.06,0.0135,0.1079,-0.02,173.8144
transfer_weighted_gp_ucb_scale_3,50,50,91.0073,82.5251,0.28,91.2536,83.4381,0.2,-0.1072,-0.4449,-0.04,0.0519,0.2421,0.0,173.8124
transfer_weighted_gp_ucb_scale_0p5,50,50,90.4219,83.074,0.28,91.6956,84.0641,0.2,-0.6926,0.104,-0.04,0.4939,0.8681,0.0,173.7759
transfer_weighted_gp_ucb_scale_1,50,50,90.5615,82.9086,0.22,91.8296,83.3677,0.22,-0.553,-0.0614,-0.1,0.6279,0.1717,0.02,173.6901
transfer_weighted_gp_ucb_scale_6,50,50,90.8383,82.4351,0.3,91.154,83.4338,0.16,-0.2762,-0.5349,-0.02,-0.0477,0.2378,-0.04,173.5734
transfer_weighted_gp_ucb_scale_0p25,50,50,90.1328,83.1209,0.28,91.9962,83.9706,0.24,-0.9817,0.1509,-0.04,0.7945,0.7746,0.04,173.5337
transfer_weighted_gp_ucb_scale_2,50,50,90.4716,82.6653,0.26,91.574,83.5065,0.24,-0.6429,-0.3047,-0.06,0.3723,0.3105,0.04,173.3969
