dataset,candidate_count,mode,final_best_mean,delta_final_vs_incumbent,auc_mean,delta_auc_vs_incumbent,simple_regret_mean,top10_hit_mean,interventions_mean,bad_interventions_mean,rejected_good_challengers_mean
synthetic_suzuki_i,448,no_care_random,79.2569,-2.6233,76.3211,-2.7641,8.1418,0.3,0.0,0.0,0.0
synthetic_suzuki_i,448,incumbent,81.8802,0.0,79.0852,0.0,5.5186,0.6,0.0,0.0,0.0
synthetic_suzuki_i,448,no_gate,86.4365,4.5563,85.1926,6.1074,0.9622,0.9333,2.6333,0.5,0.0
synthetic_suzuki_i,448,gate_v1,86.4365,4.5563,85.1926,6.1074,0.9622,0.9333,2.6333,0.5,0.0
synthetic_suzuki_i,448,gate_v2,86.4365,4.5563,85.1926,6.1074,0.9622,0.9333,2.6333,0.5,0.0
synthetic_chemlex_i,1728,no_care_random,90.1102,-2.6172,86.8144,-2.0416,9.8898,0.1333,0.0,0.0,0.0
synthetic_chemlex_i,1728,incumbent,92.7274,0.0,88.856,0.0,7.2726,0.2667,0.0,0.0,0.0
synthetic_chemlex_i,1728,no_gate,99.6302,6.9028,98.5616,9.7056,0.3698,0.9,7.2667,1.8667,0.0
synthetic_chemlex_i,1728,gate_v1,99.6302,6.9028,98.5616,9.7056,0.3698,0.9,6.8667,1.8,0.2667
synthetic_chemlex_i,1728,gate_v2,99.6302,6.9028,98.5616,9.7056,0.3698,0.9,6.8667,1.8,0.2667
synthetic_materials_i,336,no_care_random,90.2415,-3.1094,88.402,-2.0698,6.2324,0.4333,0.0,0.0,0.0
synthetic_materials_i,336,incumbent,93.3509,0.0,90.4718,0.0,3.123,0.7,0.0,0.0,0.0
synthetic_materials_i,336,no_gate,95.8318,2.4809,94.0513,3.5795,0.6421,0.9333,3.3667,0.7,0.0
synthetic_materials_i,336,gate_v1,95.8318,2.4809,94.0513,3.5795,0.6421,0.9333,3.3667,0.7,0.0
synthetic_materials_i,336,gate_v2,95.8318,2.4809,94.0513,3.5795,0.6421,0.9333,3.3667,0.7,0.0
real_buchwald_hartwig,3955,no_care_random,83.7345,-3.1473,79.2249,-1.6026,16.2655,0.1,0.0,0.0,0.0
real_buchwald_hartwig,3955,incumbent,86.8818,0.0,80.8275,0.0,13.1182,0.1667,0.0,0.0,0.0
real_buchwald_hartwig,3955,no_gate,86.8818,0.0,80.8275,0.0,13.1182,0.1667,0.3,0.1,0.0
real_buchwald_hartwig,3955,gate_v1,86.8818,0.0,80.8275,0.0,13.1182,0.1667,0.3,0.1,0.0
real_buchwald_hartwig,3955,gate_v2,86.8818,0.0,80.8275,0.0,13.1182,0.1667,0.3,0.1,0.0
real_suzuki_miyaura,5760,no_care_random,87.2205,-5.388,83.3939,-4.1594,12.7795,0.0333,0.0,0.0,0.0
real_suzuki_miyaura,5760,incumbent,92.6085,0.0,87.5533,0.0,7.3915,0.1,0.0,0.0,0.0
real_suzuki_miyaura,5760,no_gate,92.6085,0.0,87.4647,-0.0886,7.3915,0.1,0.1333,0.0667,0.0
real_suzuki_miyaura,5760,gate_v1,92.6085,0.0,87.4647,-0.0886,7.3915,0.1,0.1333,0.0667,0.0
real_suzuki_miyaura,5760,gate_v2,92.6085,0.0,87.4647,-0.0886,7.3915,0.1,0.1333,0.0667,0.0
real_moleculenet_esol,1128,no_care_random,87.2126,-1.4286,84.9342,-1.1847,9.7874,0.1333,0.0,0.0,0.0
real_moleculenet_esol,1128,incumbent,88.6412,0.0,86.1189,0.0,8.3588,0.2333,0.0,0.0,0.0
real_moleculenet_esol,1128,no_gate,89.0674,0.4262,86.1758,0.0569,7.9326,0.3,0.8667,0.0667,0.0
real_moleculenet_esol,1128,gate_v1,89.0674,0.4262,86.1829,0.064,7.9326,0.3,0.7333,0.1,0.1333
real_moleculenet_esol,1128,gate_v2,89.0674,0.4262,86.1758,0.0569,7.9326,0.3,0.7667,0.1,0.1
real_moleculenet_freesolv,642,no_care_random,60.8244,-5.0156,55.0401,-1.2133,39.1756,0.3667,0.0,0.0,0.0
real_moleculenet_freesolv,642,incumbent,65.84,0.0,56.2534,0.0,34.16,0.6,0.0,0.0,0.0
real_moleculenet_freesolv,642,no_gate,66.1911,0.3511,56.2886,0.0352,33.8089,0.6,0.2333,0.1,0.0
real_moleculenet_freesolv,642,gate_v1,65.84,0.0,56.2534,0.0,34.16,0.6,0.1667,0.1,0.0333
real_moleculenet_freesolv,642,gate_v2,65.84,0.0,56.2534,0.0,34.16,0.6,0.1667,0.1,0.0333
real_moleculenet_lipophilicity,4200,no_care_random,85.5917,-1.525,84.5687,-0.7809,8.1583,0.0333,0.0,0.0,0.0
real_moleculenet_lipophilicity,4200,incumbent,87.1167,0.0,85.3496,0.0,6.6333,0.0,0.0,0.0,0.0
real_moleculenet_lipophilicity,4200,no_gate,87.0583,-0.0584,85.3438,-0.0058,6.6917,0.0,0.1333,0.1,0.0
