protocol_version,case,domain,source_tasks,target_task,actual_rounds,best_so_far_auc,final_best,llm_participation_rate,llm_decision_authority_rate,eligibility_modes,online_auc_delta_vs_same_initial_gp,online_final_delta_vs_same_initial_gp,full_auc_delta_vs_frozen_control,full_final_delta_vs_frozen_control,initial_auc_delta_vs_frozen_control,initial_final_delta_vs_frozen_control,initial_tokens,online_tokens,llm_errors
v1,materials_expt_gap_to_dielectric,materials_property,real_matbench_expt_gap,real_matbench_dielectric,10,59.5114,59.5114,1.0,0.9,"{""legacy"":10}",6.74515,0.0,15.378,13.1084,8.63285,13.1084,4697,54811,0
v1,materials_phonons_to_bulk_modulus,materials_property,real_matbench_phonons,real_matbench_log_kvrh,10,74.52982,84.4675,1.0,0.9,"{""legacy"":10}",3.59076,11.1789,2.57706,9.5351,-1.0137,-1.6438,5752,57130,0
v1,molecular_freesolv_to_lipophilicity,molecular_property,real_moleculenet_freesolv_continuous,real_moleculenet_lipophilicity,10,76.275,90.0,1.0,0.9,"{""legacy"":10}",-6.975,5.0,2.45,9.875,9.425,4.875,5376,63287,0
v1,molecular_lipophilicity_to_freesolv,molecular_property,real_moleculenet_lipophilicity,real_moleculenet_freesolv_continuous,10,90.137705,90.771091,1.0,0.9,"{""legacy"":10}",0.422257,1.055643,1.892027,0.0,1.46977,-1.055643,6190,64506,0
v2,materials_bulk_to_shear_modulus,materials_property,real_matbench_log_kvrh,real_matbench_log_gvrh,10,61.09267,61.295,1.0,0.9,"{""target_gp"":9,""transfer_consensus"":1}",-1.12414,-11.2414,-0.07459,0.0,1.04955,11.2414,5721,59468,0
v2,molecular_freesolv_to_esol,molecular_property,real_moleculenet_freesolv_continuous,real_moleculenet_esol_common,10,92.85714,93.5,1.0,0.9,"{""transfer_consensus"":10}",1.85714,2.5,1.85714,2.5,0.0,0.0,5956,62651,0
v3,materials_dielectric_to_jdft2d,materials_property,real_matbench_dielectric,real_matbench_jdft2d,10,94.83937,95.6059,1.0,0.9,"{""transfer_consensus"":10}",-0.55524,-4.3914,-1.28555,-0.7793,-0.73031,3.6121,4501,57845,0
v3,materials_phonons_to_perovskites,materials_property,real_matbench_phonons,real_matbench_perovskites,10,33.67466,45.5121,1.0,0.0,"{""target_gp"":9,""transfer_consensus"":1}",-5.67214,-2.489,-8.50324,-2.489,-2.8311,0.0,5479,53860,0
v4,materials_expt_gap_to_steels,materials_property,real_matbench_expt_gap,real_matbench_steels,10,82.65733,82.91,1.0,0.0,"{""target_gp"":9,""target_gp_safety_fallback"":1}",0.0,0.0,0.0,0.0,0.0,0.0,5330,64599,0
v4,molecular_freesolv_to_bace,molecular_property,real_moleculenet_freesolv_continuous,real_moleculenet_bace_common,10,71.81969,73.7823,1.0,0.0,"{""target_gp"":9,""target_gp_safety_fallback"":1}",0.0,0.0,1.02152,2.377,1.02152,2.377,5453,67669,0
v5,materials_expt_gap_to_mp_gap,materials_property,real_matbench_expt_gap,real_matbench_mp_gap,10,75.78649,76.3513,1.0,0.9,"{""target_gp_safety_fallback"":6,""transfer_consensus"":4}",-2.19609,-23.6487,-10.36851,-9.8037,-8.17242,13.845,4243,56660,0
v5,materials_perovskites_to_mp_e_form,materials_property,real_matbench_perovskites,real_matbench_mp_e_form,10,96.37871,96.3956,1.0,0.6,"{""target_gp"":4,""target_gp_safety_fallback"":6}",0.03941,0.0563,-0.72269,-0.7058,-0.7621,-0.7621,5442,57629,0
