dataset,mode,seed,final_best,best_so_far_auc,simple_regret,top10_hit,intervention_count,bad_intervention_count,rejected_good_challenger_count,llm_call_count,hypothesis_confidence,hypothesis_support_count
real_moleculenet_esol,no_care_random,0,90.0714,86.1428,6.9286,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,1,91.5,91.0714,5.5,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,2,83.1429,82.7929,13.8571,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,3,91.3571,91.3571,5.6429,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,4,88.7857,84.4357,8.2143,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,5,86.2143,86.2143,10.7857,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,6,88.7857,88.7857,8.2143,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,7,84.1429,83.4643,12.8571,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,8,81.4286,81.3,15.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,9,85.5,85.5,11.5,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,10,77.5714,72.7143,19.4286,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,11,89.3571,88.3571,7.6429,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,12,89.4286,89.4286,7.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,13,78.8571,75.0143,18.1429,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,14,80.5714,79.5714,16.4286,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,15,97.0,90.9786,0.0,1,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,16,89.4286,83.1143,7.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,17,90.1429,82.6429,6.8571,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,18,93.8857,92.7943,3.1143,1,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,19,88.7857,85.8357,8.2143,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,20,77.3571,77.3571,19.6429,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,21,80.7143,80.7143,16.2857,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,22,89.8571,89.8571,7.1429,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,23,88.9286,88.9286,8.0714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,24,93.7143,93.7143,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,25,81.4286,81.3286,15.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,26,90.8214,90.8214,6.1786,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,27,93.0,93.0,4.0,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,28,80.7143,80.7143,16.2857,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_care_random,29,93.8857,70.0743,3.1143,1,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,0,93.7143,92.2643,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,1,90.1429,90.0785,6.8571,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,2,85.7786,80.87,11.2214,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,3,91.3571,91.3571,5.6429,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,4,93.7143,89.4714,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,5,80.7143,80.7143,16.2857,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,6,88.7857,88.7857,8.2143,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,7,92.4286,89.5357,4.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,8,81.2857,81.2857,15.7143,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,9,85.5,85.5,11.5,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,10,97.0,89.7357,0.0,1,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,11,85.8571,83.5328,11.1429,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,12,89.4286,89.4286,7.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,13,82.7857,74.9857,14.2143,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,14,91.3571,85.7228,5.6429,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,15,93.8857,85.3771,3.1143,1,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,16,79.2143,76.8786,17.7857,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,17,82.7857,82.7857,14.2143,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,18,97.0,93.8786,0.0,1,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,19,76.4286,76.4286,20.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,20,92.4286,87.9072,4.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,21,89.5714,88.35,7.4286,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,22,86.5,86.5,10.5,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,23,92.4286,91.7286,4.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,24,93.7143,93.7143,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,25,81.2857,81.2857,15.7143,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,26,97.0,94.5321,0.0,1,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,27,93.0,93.0,4.0,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,28,91.3571,80.76,5.6429,0,0,0,0,0,0.5,0
real_moleculenet_esol,incumbent,29,82.7857,77.1714,14.2143,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,0,93.7143,92.2643,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,1,90.0714,90.0714,6.9286,0,4,0,0,0,0.5,0
real_moleculenet_esol,no_gate,2,85.7786,80.87,11.2214,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,3,91.3571,91.3571,5.6429,0,1,0,0,0,0.5,0
real_moleculenet_esol,no_gate,4,93.7143,89.4714,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,5,80.7143,80.7143,16.2857,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,6,88.7857,88.7857,8.2143,0,7,0,0,0,0.5,0
real_moleculenet_esol,no_gate,7,92.4286,89.5357,4.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,8,81.2857,81.2857,15.7143,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,9,85.5,85.5,11.5,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,10,97.0,89.7357,0.0,1,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,11,85.8571,83.5328,11.1429,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,12,89.4286,89.4286,7.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,13,82.7857,74.9857,14.2143,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,14,93.5,86.3657,3.5,1,2,0,0,0,0.5,0
real_moleculenet_esol,no_gate,15,93.8857,85.3771,3.1143,1,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,16,79.2143,76.8786,17.7857,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,17,82.7857,82.7857,14.2143,0,2,1,0,0,0.5,0
real_moleculenet_esol,no_gate,18,97.0,93.8786,0.0,1,2,0,0,0,0.5,0
real_moleculenet_esol,no_gate,19,76.4286,76.4286,20.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,20,92.4286,87.9072,4.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,21,89.5714,88.35,7.4286,0,3,0,0,0,0.5,0
real_moleculenet_esol,no_gate,22,86.5,86.5,10.5,0,1,0,0,0,0.5,0
real_moleculenet_esol,no_gate,23,92.4286,91.7286,4.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,24,93.7143,93.7143,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,25,81.2857,81.2857,15.7143,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,26,97.0,94.5321,0.0,1,2,0,0,0,0.5,0
real_moleculenet_esol,no_gate,27,93.0,93.0,4.0,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,28,91.3571,80.76,5.6429,0,0,0,0,0,0.5,0
real_moleculenet_esol,no_gate,29,93.5,78.2428,3.5,1,2,1,0,0,0.5,0
real_moleculenet_esol,gate_v1,0,93.7143,92.2643,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,1,90.0714,90.0714,6.9286,0,4,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,2,85.7786,80.87,11.2214,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,3,91.3571,91.3571,5.6429,0,1,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,4,93.7143,89.4714,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,5,80.7143,80.7143,16.2857,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,6,88.7857,88.7857,8.2143,0,7,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,7,92.4286,89.5357,4.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,8,81.2857,81.2857,15.7143,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,9,85.5,85.5,11.5,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,10,97.0,89.7357,0.0,1,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,11,85.8571,83.5328,11.1429,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,12,89.4286,89.4286,7.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,13,82.7857,74.9857,14.2143,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,14,93.5,86.58,3.5,1,1,0,1,0,0.5,0
real_moleculenet_esol,gate_v1,15,93.8857,85.3771,3.1143,1,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,16,79.2143,76.8786,17.7857,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,17,82.7857,82.7857,14.2143,0,0,0,1,0,0.5,0
real_moleculenet_esol,gate_v1,18,97.0,93.8786,0.0,1,2,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,19,76.4286,76.4286,20.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,20,92.4286,87.9072,4.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,21,89.5714,88.35,7.4286,0,3,2,1,0,0.5,0
real_moleculenet_esol,gate_v1,22,86.5,86.5,10.5,0,1,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,23,92.4286,91.7286,4.5714,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,24,93.7143,93.7143,3.2857,1,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,25,81.2857,81.2857,15.7143,0,0,0,0,0,0.5,0
real_moleculenet_esol,gate_v1,26,97.0,94.5321,0.0,1,1,0,1,0,0.5,0
real_moleculenet_esol,gate_v1,27,93.0,93.0,4.0,0,0,0,0,0,0.5,0
