best_so_far_auc,dataset,final_best,mode,seed,simple_regret,top10_hit
47.7123,real_matbench_dielectric,57.1624,gp_ucb,43000,42.483,0
40.0631,real_matbench_dielectric,44.295,llm_direct_prior_counter_hypothesis_anion_family,43000,55.3504,0
51.6687,real_matbench_dielectric,66.6854,llm_direct_prior_high_refractive_index_oxide,43000,32.96,0
38.0373,real_matbench_dielectric,38.824,llm_direct_prior_lanthanide_contribution,43000,60.8214,0
39.624,real_matbench_dielectric,44.295,llm_direct_prior_low_refractive_index_halide,43000,55.3504,0
50.171,real_matbench_dielectric,50.171,llm_direct_prior_random_rule_r1_counter_hypothesis_anion_family,43000,49.4744,0
51.6687,real_matbench_dielectric,66.6854,llm_direct_prior_random_rule_r1_high_refractive_index_oxide,43000,32.96,0
39.624,real_matbench_dielectric,44.295,llm_direct_prior_random_rule_r1_lanthanide_contribution,43000,55.3504,0
40.4206,real_matbench_dielectric,41.5059,llm_direct_prior_random_rule_r1_low_refractive_index_halide,43000,58.1395,0
37.7929,real_matbench_dielectric,38.5447,llm_direct_prior_random_rule_r1_transition_metal_effect,43000,61.1007,0
40.9445,real_matbench_dielectric,44.295,llm_direct_prior_random_rule_r2_counter_hypothesis_anion_family,43000,55.3504,0
39.624,real_matbench_dielectric,44.295,llm_direct_prior_random_rule_r2_high_refractive_index_oxide,43000,55.3504,0
39.624,real_matbench_dielectric,44.295,llm_direct_prior_random_rule_r2_lanthanide_contribution,43000,55.3504,0
39.624,real_matbench_dielectric,44.295,llm_direct_prior_random_rule_r2_low_refractive_index_halide,43000,55.3504,0
37.7929,real_matbench_dielectric,38.5447,llm_direct_prior_random_rule_r2_transition_metal_effect,43000,61.1007,0
39.7054,real_matbench_dielectric,43.5342,llm_direct_prior_random_rule_r3_counter_hypothesis_anion_family,43000,56.1112,0
39.624,real_matbench_dielectric,44.295,llm_direct_prior_random_rule_r3_high_refractive_index_oxide,43000,55.3504,0
38.0373,real_matbench_dielectric,38.824,llm_direct_prior_random_rule_r3_lanthanide_contribution,43000,60.8214,0
38.9052,real_matbench_dielectric,42.9941,llm_direct_prior_random_rule_r3_low_refractive_index_halide,43000,56.6513,0
37.7929,real_matbench_dielectric,38.5447,llm_direct_prior_random_rule_r3_transition_metal_effect,43000,61.1007,0
58.8629,real_matbench_dielectric,61.1299,llm_direct_prior_transition_metal_effect,43000,38.5155,0
42.5751,real_matbench_dielectric,48.7857,mixed_kernel_gp_ei,43000,50.8597,0
44.2456,real_matbench_dielectric,49.2242,gp_ucb,43001,50.4212,0
