case_id,domain,evidence_tier,source_task_count,predeclared_transfer_method,online_llm_auc,online_llm_final,target_gp_auc,predeclared_transfer_auc,llm_minus_target_gp_auc,llm_minus_predeclared_transfer_auc,llm_minus_target_gp_final,llm_minus_predeclared_transfer_final
molecular_freesolv_to_esol,molecular_property,retrospective_development,1,rgpe,91.0,91.0,91.0,91.0,0.0,0.0,0.0,0.0
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,1,rgpe,89.575,89.875,83.25,76.8625,6.325,12.7125,4.875,3.0
materials_expt_gap_to_dielectric,materials_property,retrospective_development,1,rgpe,59.5114,59.5114,52.76625,27.05261,6.74515,32.45879,0.0,27.2711
materials_phonons_to_bulk_modulus,materials_property,retrospective_development,1,rgpe,72.37411,73.2886,70.93906,72.25759,1.43505,0.11652,0.0,-1.6438
materials_dielectric_to_jdft2d,materials_property,retrospective_development,1,rgpe,94.8703,96.6304,95.39461,94.61116,-0.52431,0.25914,-3.3669,1.8762
materials_expt_gap_to_mp_gap,materials_property,retrospective_development,1,rgpe,80.42896,100.0,77.98258,89.56173,2.44638,-9.13277,0.0,0.0
baumgartner_aniline_to_phenethylamine_alphos,reaction_optimization_cn,post_freeze_extension,1,rgpe,96.92958,98.5826,97.63967,97.63967,-0.71009,-0.71009,0.0,0.0
baumgartner_aniline_to_benzamide_tbuxphos,reaction_optimization_cn,post_freeze_extension,1,rgpe,25.36333,25.8976,25.54142,23.70547,-0.17809,1.65786,0.0,0.0
baumgartner_aniline_to_phenethylamine_tbubrettphos,reaction_optimization_cn,post_freeze_extension,1,rgpe,91.93212,99.9296,89.56596,95.11457,2.36616,-3.18245,0.0,0.0
baumgartner_benzamide_tbubrettphos_to_alphos,reaction_optimization_cn,post_freeze_extension,1,rgpe,67.28657,67.3272,67.28657,67.3272,0.0,-0.04063,0.0,0.0
reizman_cases_123_to_case4,reaction_optimization_suzuki,post_freeze_extension,3,multisource_rgpe,95.48,99.8,94.1,94.1,1.38,1.38,5.7,5.7
