case_id,domain,evidence_tier,replicate_id,auc_delta_vs_same_initial_gp,final_delta_vs_same_initial_gp,participation_rate,decision_authority_rate,gp_override_rate,critic_revision_rate,source_transfer_active_rate,total_tokens,summary_sha256,trace_sha256
molecular_freesolv_to_esol,molecular_property,retrospective_development,1000,0.0,0.0,1.0,1.0,0.3,0.0,1.0,170754,e5c28e84139baf07c9dc52eb5914be1f9901559b81cc6b9e1f50119f89c07d1f,eb4df1c1ff06f191ea80afbd3c4a9e0ec37c5d7548a69a23fb464304a69906f5
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,1000,6.325,4.875,1.0,1.0,0.2,0.1,0.4,172099,15ef13781a90c2f1f139b426f9b4bdb5805115ab52b61d98ad1740ce3f050838,a9e81444adf3147ec6906c0c0cded63549919faa3cb84859efc7fbc145b4b009
materials_expt_gap_to_dielectric,materials_property,retrospective_development,1000,6.74515,0.0,1.0,1.0,0.4,0.0,0.4,150181,0c99d38b1718db6e5aeb4f14dbf1a30351f22961109fa20fd8650c2c56f54491,c2b9925a5ea29f5bc31cacc98ea5e02f79592f4dd47b9ab8479982ecd811dc73
materials_phonons_to_bulk_modulus,materials_property,retrospective_development,1000,1.43505,0.0,1.0,1.0,0.3,0.2,0.0,149612,0e29459714b65b3578a2d41dc738b5bced180cab3c7a29efd7497cc04254093a,0a529a50932163ac566d618f775ac49f8fe97e1c29e1ce0da1b9a8d4fd4a7a59
materials_dielectric_to_jdft2d,materials_property,retrospective_development,1000,-0.52431,-3.3669,1.0,1.0,0.6,0.3,0.7,162181,ebca74828bcf1a657c5862d5ee1416abb90e7c5df667c0a81f469c5b7265b15d,98c411b39061d0703ea3bb9ae6d369f0c275048b29f93aa0a828540c847a549d
materials_expt_gap_to_mp_gap,materials_property,retrospective_development,1000,2.44638,0.0,1.0,1.0,0.2,0.0,1.0,148052,17acbe842a9cfe18174fbe6d77cbe111e6895cce1a115ff2dced75caaa844bf4,61a3be4eb925e7714ef9ee91dcdce2acb71eeacc7da8372e415af5ea69d13ef5
baumgartner_aniline_to_phenethylamine_alphos,reaction_optimization_cn,post_freeze_extension,1000,-0.71009,0.0,1.0,1.0,0.7,0.4,0.1,146952,48a4c03c7d3edcb3ee00450dec3b4532177c97c2149b460f67bfcc8ccb74086f,015bb15e48883abb8366474827fac8a13bbec7ae54b26aefc6ddf0e71e3c720d
baumgartner_aniline_to_benzamide_tbuxphos,reaction_optimization_cn,post_freeze_extension,1000,-0.17809,0.0,1.0,1.0,0.3,0.0,0.6,170775,dd9d2f86c50feb507298ccd1197e88cb12a47ccc70796e5ea2cdd3e228745889,6849f7d725719dd8ec8a9436e232e36dfdae05b57a41c82330b00d506339d4c0
baumgartner_aniline_to_phenethylamine_tbubrettphos,reaction_optimization_cn,post_freeze_extension,1000,2.36616,0.0,1.0,1.0,0.5,0.1,0.5,152774,9648f846dccef330874e322bf56ca703ef52ccbffa135eba8b25642db351582c,675adfdd7ad76ec38e75688bc3b073e3eb2d4d7ff8b49f54bd4372462c5acbaa
baumgartner_benzamide_tbubrettphos_to_alphos,reaction_optimization_cn,post_freeze_extension,1000,0.0,0.0,1.0,1.0,0.4,0.2,0.1,136686,ed354147aead36850cfd112e5def8defe80b322678e1f8fef65f3e07f18e009f,3ed967f0fc22c2eb2d1ad04c39e9ae31ca25e6f53a2ca268b5d6d1509ffa7361
reizman_cases_123_to_case4,reaction_optimization_suzuki,post_freeze_extension,1000,1.38,5.7,1.0,1.0,0.7,0.0,0.9,114017,be5bccc1d7373d0200008dfa3ab24177285226faa2271ad1c5afbf641f6df2ef,38e5ef03b5bee769bb0cc4a7fc92fe37dcb3e55155c93185f048ec79343f9287
