case_id,domain,evidence_tier,completed_replicates,expected_replicates,mean_auc_delta,auc_standard_deviation,auc_bootstrap_95ci_low,auc_bootstrap_95ci_high,auc_wins,auc_ties,auc_losses,auc_sign_test_p,mean_final_delta,final_bootstrap_95ci_low,final_bootstrap_95ci_high,mean_total_tokens,auc_sign_test_bh_adjusted_p
molecular_freesolv_to_esol,molecular_property,retrospective_development,1,30,0.0,,,,0,1,0,,0.0,,,170754,
molecular_freesolv_to_lipophilicity,molecular_property,retrospective_development,1,30,6.325,,,,1,0,0,1.0,4.875,,,172099,1.0
materials_expt_gap_to_dielectric,materials_property,retrospective_development,1,30,6.74515,,,,1,0,0,1.0,0.0,,,150181,1.0
materials_phonons_to_bulk_modulus,materials_property,retrospective_development,1,30,1.43505,,,,1,0,0,1.0,0.0,,,149612,1.0
materials_dielectric_to_jdft2d,materials_property,retrospective_development,1,30,-0.52431,,,,0,0,1,1.0,-3.3669,,,162181,1.0
materials_expt_gap_to_mp_gap,materials_property,retrospective_development,1,30,2.44638,,,,1,0,0,1.0,0.0,,,148052,1.0
baumgartner_aniline_to_phenethylamine_alphos,reaction_optimization_cn,post_freeze_extension,1,30,-0.71009,,,,0,0,1,1.0,0.0,,,146952,1.0
baumgartner_aniline_to_benzamide_tbuxphos,reaction_optimization_cn,post_freeze_extension,1,30,-0.17809,,,,0,0,1,1.0,0.0,,,170775,1.0
baumgartner_aniline_to_phenethylamine_tbubrettphos,reaction_optimization_cn,post_freeze_extension,1,30,2.36616,,,,1,0,0,1.0,0.0,,,152774,1.0
baumgartner_benzamide_tbubrettphos_to_alphos,reaction_optimization_cn,post_freeze_extension,1,30,0.0,,,,0,1,0,,0.0,,,136686,
reizman_cases_123_to_case4,reaction_optimization_suzuki,post_freeze_extension,1,30,1.38,,,,1,0,0,1.0,5.7,,,114017,1.0
