dataset_id,menu_id,seed,menu_size,selected_public_candidate_id,selected_candidate_id,selected_value,random_expected_value,random_realized_candidate_id,random_realized_value,space_filling_candidate_id,space_filling_value,oracle_value,llm_minus_random_expected,llm_minus_random_realized,llm_minus_space_filling,rank,percentile,top_quartile_hit,top_one_hit,hypothesis,reason,confidence
real_matbench_expt_gap,real_matbench_expt_gap-menu-000,82000,12,option_05,matbench_expt_gap_0390,59.75,8.72916667,matbench_expt_gap_2484,37.5,matbench_expt_gap_1193,0.0,59.75,51.02083333,22.25,59.75,1,1.0,True,True,"BaNaB5O9, an alkali/alkaline-earth borate with only closed-shell s-block cations and B-O sp3/sp2 networks, should show the largest experimental gap (>5 eV) of this menu.","Borates with no transition-metal or lanthanide d/f states have valence bands of O 2p and conduction bands of high-lying cation s states, giving deep-UV transparency; every competing option contains metallic intermetallics, partially filled d/f states (TmMnO3, Li3V12O29, MnCdO2) or heavy-metal narrow-gap chemistry that caps the gap near or below 3 eV.",0.83
real_matbench_expt_gap,real_matbench_expt_gap-menu-001,82001,12,option_11,matbench_expt_gap_0557,0.0,8.07291667,matbench_expt_gap_4324,0.0,matbench_expt_gap_3820,0.0,35.875,-8.07291667,0.0,0.0,4,0.72727273,False,False,"Ca2Sn2F3, a fluoride with electropositive Ca and Sn(II), should have the widest gap in this menu (roughly 3-4 eV), exceeding the sulfide/selenide semiconductors.","Fluorine's very low-lying 2p valence band produces the largest anion-driven gaps; the remaining options are metallic intermetallics (YNi4B, GaFe3, DySnRu2, TbCu5, Si2Ru, Ho(SiRu)2, Tb(MnGe)6, ZrSiTe semimetal) or chalcogenides whose gaps top out around 2-3.4 eV. The main risk is Sn 5s lone-pair states raising the valence band, which is why the quaternary sulfide Li2ZnSnS4 (~3.3 eV) is the close alternative.",0.5
real_matbench_expt_gap,real_matbench_expt_gap-menu-002,82002,12,option_02,matbench_expt_gap_0789,0.0,3.59375,matbench_expt_gap_4259,0.0,matbench_expt_gap_1719,0.0,24.375,-3.59375,0.0,0.0,3,0.81818182,True,False,"CeAlO3, a perovskite oxide of a trivalent rare earth with closed-shell Al, should show the largest gap here (~3 eV or more), well above the heavy chalcogenides and intermetallics.","Oxide perovskites of the LaAlO3 family have O 2p to cation s/d gaps of several eV; substituting Ce lowers it via 4f states but should still exceed the ~1-2.5 eV gaps of InBi2S4Cl, YbTlSe2, Li0.5GePb1.75S4, DyS2 and the metallic/semimetallic borides, carbides and silicide-intermetallics (Pm2PtAu, Y(CrSi)2, CeSiIr, DyNiSn, Dy3MnB7, HoC2).",0.55
real_matbench_expt_gap,real_matbench_expt_gap-menu-003,82003,12,option_01,matbench_expt_gap_4482,0.0,14.21875,matbench_expt_gap_0290,9.875,matbench_expt_gap_0038,18.375,51.25,-14.21875,-9.875,-18.375,8,0.36363636,False,False,"Zn2Sb3O8 (zinc antimonate) should exhibit the largest experimental gap of this menu, roughly 3-3.7 eV, characteristic of d10 Zn/Sb(V) oxides.","Closed-shell d10 cations with O 2p valence bands give wide-gap transparent oxide semiconductors, unlike the vanadate Na2V6O13 (mixed-valence, near-metallic), metallic LaB6/AlCu3/Ti2MnFe/SmNiC2, and the chalcogenides (Ba2GaSe4, Ba2GaBiS5, GaAgTe2, Ba3SnBiSe8) whose Se/Te-derived valence bands limit gaps to ~1-3 eV; AgP15 is also only ~1.5-2 eV.",0.52
real_matbench_expt_gap,real_matbench_expt_gap-menu-004,82004,12,option_04,matbench_expt_gap_0538,68.375,12.02083333,matbench_expt_gap_3051,47.0,matbench_expt_gap_0538,68.375,68.375,56.35416667,21.375,0.0,1,1.0,True,True,"The calcium borogermanate Ca10Ge16(B2O17)3 should have the widest gap here (>4 eV, deep-UV transparent), since it contains only closed-shell Ca2+, Ge4+, B3+ and O2-.","Borate/germanate frameworks with no d or f electrons are classic UV nonlinear-optical materials with gaps above 4-5 eV; the alternatives are intermetallics or metals (HfFe2, Mg2Co, NbCrW, Ga9Rh2, Lu2CdAg, Y(CuSi)2, Rb6O suboxide, Ca(BC)2), narrow-gap chalcogenides (KTbSe4, SrUS2), or a Pb/Se-containing oxide whose lone-pair and Se 4p states raise the valence band and shrink the gap.",0.72
real_matbench_expt_gap,real_matbench_expt_gap-menu-005,82005,12,option_09,matbench_expt_gap_2750,31.5,12.66666667,matbench_expt_gap_3882,0.0,matbench_expt_gap_1202,0.0,43.75,18.83333333,31.5,31.5,3,0.81818182,True,False,"Na2CdSnS4, a closed-shell d10 quaternary thiostannate, should show the largest experimental band gap in this menu (~3 eV), above the Sb-halide and 3d-metal oxide options.","Most options are intermetallics or 3d transition-metal oxides expected to be metallic or narrow-gap; among the semiconductors, d10 Cd(II)/Sn(IV) sulfides with electropositive Na counterions are typical wide-gap NLO materials, expected to exceed Rb3Sb2Br9 and the Bi/Cr chalcogenide options.",0.42
real_matbench_expt_gap,real_matbench_expt_gap-menu-006,82006,12,option_02,matbench_expt_gap_3349,25.0,7.15625,matbench_expt_gap_0017,12.5,matbench_expt_gap_3349,25.0,25.0,17.84375,12.5,0.0,1,1.0,True,True,"The Pb-Sb sulfoiodide (SbPb2S2I3) should have the widest gap here (~1.8-2.0 eV), above SnSe2 (~1 eV) and Ag7AsS6.","The menu is dominated by intermetallics (Mg3Tl, Na3Tl, K(FeAs)2, Sc(GaFe)6, AlBi) and narrow-gap semiconductors (Si-Ge alloy, SnSe2). Adding hard halide iodine to a lone-pair Pb/Sb sulfide raises ionicity and widens the gap, giving the highest expected value.",0.38
real_matbench_expt_gap,real_matbench_expt_gap-menu-007,82007,12,option_11,matbench_expt_gap_3677,55.0,16.51041667,matbench_expt_gap_3677,55.0,matbench_expt_gap_3903,0.0,55.0,38.48958333,0.0,55.0,1,1.0,True,True,"Sr3Se3ClO8, a closed-shell alkaline-earth oxo-halide, should exhibit the largest gap (>4 eV), exceeding the Zn-Ga-Sn oxide and Rb3Sb2I9.","Fully oxidized, closed-shell alkaline-earth oxyanion halide with no transition-metal d states or reduced cations is expected to be UV-transparent, whereas the other candidates are metals, sulfides, iodides, or d10 oxides with smaller expected gaps.",0.4
real_matbench_expt_gap,real_matbench_expt_gap-menu-008,82008,12,option_04,matbench_expt_gap_0336,61.75,14.45833333,matbench_expt_gap_3504,0.0,matbench_expt_gap_0336,61.75,83.375,47.29166667,61.75,0.0,2,0.90909091,True,False,"The barium fluorooxoborate Ba7B3O9F5 should show the widest gap (~6-7 eV), above SrLi4(BO3)2 and far above the lanthanide oxides and intermetallics.","Fluorine substitution into isolated BO3 borate frameworks lowers the valence band and yields deep-UV transparency; the competing candidates are intermetallics, lanthanide transition-metal oxides, or chalcogenides with much narrower expected gaps.",0.42
real_matbench_expt_gap,real_matbench_expt_gap-menu-009,82009,12,option_09,matbench_expt_gap_2855,68.75,15.83333333,matbench_expt_gap_2862,48.75,matbench_expt_gap_1182,0.0,68.75,52.91666667,20.0,68.75,1,1.0,True,True,"NaSc(SeO3)2 should have the largest gap (~4-4.5 eV) among these, exceeding NaY(Te2O5)2 and far exceeding metallic NbSe2 and the Mn/Mo oxides.","d0 Sc(III) with alkali counterions and Se(IV) oxyanions gives a closed-shell, fully oxidized wide-gap oxide; the alternatives contain partially filled d shells (Nb, Mn, Mo, V, Cu), heavy metallic elements, or lone-pair iodine species that narrow the gap.",0.43
